English,Mon,Original_Definition
Vi.  ဂြိပ်မွဲဇြဟတ်။  n.  ဒဒှ်မဂြိပ်မွဲဇြဟတ်။,sprint,vi.  ဂြိပ်မွဲဇြဟတ်။  n.  ဒဒှ်မဂြိပ်မွဲဇြဟတ်။
Vi.  ဂြိပ်လှောဝ်၊  ဂြိပ်လှောဝ်က္တိုၚ်အာ။  n.  ဒဒှ်မဂြိပ်လှောဝ်၊  ဗရုရမျှာၚ်ဂြိပ်လှောဝ်။,scurry,vi.  ဂြိပ်လှောဝ်၊  ဂြိပ်လှောဝ်က္တိုၚ်အာ။  n.  ဒဒှ်မဂြိပ်လှောဝ်၊  ဗရုရမျှာၚ်ဂြိပ်လှောဝ်။
Vi.  ဂြိုဟ်ပလန်၊  ကလေၚ်ပလန်၊  ကလေၚ်ဂြိုဟ်ပလန်၊  ခၠေဝ်ပလန်၊  ပလန်၊  ပလန်ပါၚ်။  retaliation   ဒဒှ်မကလေၚ်ဂြိုဟ်ပလန်။  the victim retaliated.   တ္ၜေဟ်လက်ပလန်။,retaliate,vi.  ဂြိုဟ်ပလန်၊  ကလေၚ်ပလန်၊  ကလေၚ်ဂြိုဟ်ပလန်၊  ခၠေဝ်ပလန်၊  ပလန်၊  ပလန်ပါၚ်။  retaliation (n)  ဒဒှ်မကလေၚ်ဂြိုဟ်ပလန်။  The victim retaliated. (vi)  တ္ၜေဟ်လက်ပလန်။
Vi.  ဂြိုၚ်တိုန်ခေက်ခေက်။  n.  ပွမဂြိုၚ်တိုန်ခေက်ခေက်။,giggle,vi.  ဂြိုၚ်တိုန်ခေက်ခေက်။  n.  ပွမဂြိုၚ်တိုန်ခေက်ခေက်။
Vi.  ဂွမုက်ဍာဲအာ။  n.  အရံၚ်ဆီဍာဲဒၟံၚ်အလုံမုက်။,blush,vi.  ဂွမုက်ဍာဲအာ။  n.  အရံၚ်ဆီဍာဲဒၟံၚ်အလုံမုက်(ဂွ)။
Vi.  ဂၠိန်ၜောတ်၊  လုပ်ပထုဲလှံက် ပ္ဍဲကိစ္စညးတၞး။  ၂။  သကဵုဒှ်အဆဵုအဒဝ်၊  ပထုဲပလာပ်။  interference   ဒဒှ်မဂၠိန်ၜောတ်၊  ဒဒှ်မလုပ်လှံက်။,interfere,vi.  ဂၠိန်ၜောတ်၊  လုပ်ပထုဲလှံက် ပ္ဍဲကိစ္စညးတၞး။  ၂။  သကဵုဒှ်အဆဵုအဒဝ်၊  ပထုဲပလာပ်။  interference (n)  ဒဒှ်မဂၠိန်ၜောတ်၊  ဒဒှ်မလုပ်လှံက်။
Vi.  ဂၠိုၚ်ဂၠေၚ်၊  နွံဗွဲမဂၠိုၚ်။  ၂။  ပေၚ်ထာတ်ဒၟံၚ်။  teeming with.   သကိုပ်ဂြိုပ်။,teem,vi.  ဂၠိုၚ်ဂၠေၚ်၊  နွံဗွဲမဂၠိုၚ်။  ၂။  ပေၚ်ထာတ်ဒၟံၚ်။  teeming with. (vi)  သကိုပ်ဂြိုပ်(ဇြိုပ်)။
Vi.  စကာရပ်စပ်သွက်သ္ဂောံဂွံအရီုအဗၚ်၊  စကာရပ်စပ်သွက်ရန်တၟံဇကုသ္ဂောံအံၚ်ဇၞး။  ၂။  ဂေတ်ဝေၚ်ဒၟံၚ်ပယျတ်ပယျတ်၊  ဂေတ်ဝေၚ်ဒၟံၚ်ဟွံပိုတ်ဟွံပိုတ်၊  စိုပ်ဒၟံၚ်ဂၠိုၚ်ကဵုလတုန်။  n.  အရာသွက်သ္ဂောံသ္ပစ္ၜုဲစ္ၜော်၊  အရာသွက်သ္ဂောံဗ္ဒဗ္ဒာဲ၊  အရီု။  ၂။  အရာသွက်သ္ဂောံသ္ပပဓာန်စခိုဟ်၊  မၞိဟ်သွက်သ္ဂောံသ္ပပဓာန်စခိုဟ်။  ၃။  ဒေသဒၞာဲမၞိဟ်ဗွဲမဂၠိုၚ်အာဝေၚ်ဒၟံၚ်ဟွံပိုတ်ဟွံပိုတ်။  resort to arms.   ဂေါစရဂါမ်။,resort,vi.  စကာရပ်စပ်သွက်သ္ဂောံဂွံအရီုအဗၚ်၊  စကာရပ်စပ်သွက်ရန်တၟံဇကုသ္ဂောံအံၚ်ဇၞး။  ၂။  ဂေတ်ဝေၚ်ဒၟံၚ်ပယျတ်ပယျတ်၊  ဂေတ်ဝေၚ်ဒၟံၚ်ဟွံပိုတ်ဟွံပိုတ်၊  စိုပ်ဒၟံၚ်ဂၠိုၚ်ကဵုလတုန်။  n.  အရာသွက်သ္ဂောံသ္ပစ္ၜုဲစ္ၜော်၊  အရာသွက်သ္ဂောံဗ္ဒဗ္ဒာဲ၊  အရီု။  ၂။  အရာသွက်သ္ဂောံသ္ပပဓာန်စခိုဟ်၊  မၞိဟ်သွက်သ္ဂောံသ္ပပဓာန်စခိုဟ်။  ၃။  ဒေသဒၞာဲမၞိဟ်ဗွဲမဂၠိုၚ်အာဝေၚ်ဒၟံၚ်ဟွံပိုတ်ဟွံပိုတ်။  resort to arms. (vi)  ဂေါစရဂါမ်။
Vi.  စာဲစုတ်ဗွဲမသ္ကာတ်မြဟ်၊  စောတ်စုတ်ဗွဲမသ္ကာတ်မြဟ်၊  ဂြိုဟ်ယာ်ဒၟံၚ်မြက်မြက်၊  ဂြိုဟ်ယာ်ဒၟံၚ်ဒုဒု။  n.  ဒဒှ်မစာဲစုတ်စောတ်စုတ် ထတ်ထတ်သ္ကာတ်သ္ကာတ်၊  ဗရုစောတ်စာဲစုတ်ထတ်ထတ်။,thump,vi.  စာဲစုတ်ဗွဲမသ္ကာတ်မြဟ်၊  စောတ်စုတ်ဗွဲမသ္ကာတ်မြဟ်၊  ဂြိုဟ်ယာ်ဒၟံၚ်မြက်မြက်၊  ဂြိုဟ်ယာ်ဒၟံၚ်ဒုဒု။  n.  ဒဒှ်မစာဲစုတ်စောတ်စုတ် ထတ်ထတ်သ္ကာတ်သ္ကာတ်၊  ဗရုစောတ်စာဲစုတ်ထတ်ထတ်။
Vi.  စာၚ်ၝောံကတတ်၊  ဟီုဂးဂြိုၚ်ညာန်ညေဲပလေဝ်ဒၟံၚ်။,cackle,vi.  စာၚ်ၝောံကတတ်၊  ဟီုဂးဂြိုၚ်ညာန်ညေဲပလေဝ်ဒၟံၚ်။
