English,Mon,Original_Definition
Uncertainly.  ဟွံကၠဳကၠး၊ ဟွံကၠးဖ္ဍး။,ဟွံသောၚ်ကၠး,"(adv) vaguely, uncertainly. [id.] ဟွံကၠဳကၠး၊ ဟွံကၠးဖ္ဍး။"
Uncharted land,တိဍာ်တၟိ,"(n) newly cleared land, newly upturned soil, uncharted land."
Uncivilized,ရိုၚ်,"2 (adj) rude, uncouth, uncivilized, wild, untamed virgin {soil}."
Uncivilized person,မၞိဟ်အရိုၚ်,"(n) savage, uncivilized person, uncouth or uncultivated person."
Uncivilized person,မၞိဟ်အရိုၚ်,"(n) uncivilized person, the uncultivated."
Uncle,တရ,"(n) uncle, that older than one’s father. [id] တရနာဲ။ {respectful form of တရ now worn down to အနာဲ, respectful form of an uncle older than one’s father}."
Uncle,ဒးဂၞပ်,"အမူဒးဂၞပ်ဣလဵုရော (v) uncle, which do you prefer?"
Uncle,မူ,"2 (n) parent’s younger brother, uncle, uncle younger than one’s parents."
Uncle .  အနာဲ၊ ဣစဳ၊ တရနာဲ။  အမူ။,မူနာဲ,(n) uncle {polite}. [Cf.] အနာဲ၊ ဣစဳ၊ တရနာဲ။ [Var.] အမူ။
Uncle got cross with me for idgeting and snapped at me,ထညက်,ဓၟာန်နူအဲဂၠာန် အမူထေဲပၞောတ်ထညက်ကဵုအဲ (v) uncle got cross with me for idgeting and snapped at me.
Uncle older than one’s parents.  အမူ၊ ဣနာဲ၊ မူ။,အနာဲ,"(n) parent’s elder brother, uncle older than one’s parents. [Cf.] အမူ၊ ဣနာဲ၊ မူ။"
Uncle who is the younger brother of one’s mother,မူဒေံမိ,"(n) the youngest uncle {the youngest brother of one’s father or mother}, uncle who is the younger brother of one’s mother."
Uncle younger than one’s parents,မူ,"2 (n) parent’s younger brother, uncle, uncle younger than one’s parents."
Uncle younger than one’s parents,အမူ,"(n) uncle younger than one’s parents, parents younger brother, general term of address to men of generation older than speaker."
Uncleanly,ပပ်,"(v) to be dirty, uncleanly, filthy."
Uncles and aunts,သဳမူနော်တရ,(n) uncles and aunts.
Uncles generally,မူတရ,(n) uncles generally.
Uncoil,ပၠိုဟ်,"(v) to come unwound, to unwind, untwist, unfold, unloose, uncoil, to unclose. [Cf.] တလာဲ၊ ပလာဲ၊ ပၠာဲ၊ သှ်။ [Var.] ပလိုဟ်၊ ဗလိုဟ်။ [Der.] လိုဟ် (v) to come undone."
Uncoiled,လိုဟ်,"(n) to come untwisted, uncoiled, undone, to ravel."
Uncommon,ဗသေသ,"(adj) uncommon, special."
Uncommon,ရာဲရှာတ်,"2 (adj) uncommon, rare, [Cf.] [id.] ရာဲသာတ်။"
Uncommon,ဝိသေသ,"(adj) [P. viseso] uncommon, rare, famous, different, special quality or accomplishment, extraordinary. [Var.] ဝိသှ်ေ(ဟ်)။"
Uncommon.  ၜါသွာၚ်  pbar swaing .  ကၟာ  to be geminate,ၜါဟွံမွဲ,"(n) rare, unique, uncommon. {place-name} ၜါသွာၚ် (n) Pbar Swaing [Bur. Chaungzon]. [Der.] ကၟာ (v) to be geminate."
Unconscious person,အသညသတ်,(n) [P.] unconscious person.
Uncontrolled.  ဂလဵုခၞံၚ်။,ဂလဵု,"(v) to be stubborn, intractable, be disorderly, unruly, uncontrolled. [id] ဂလဵုခၞံၚ်။"
