English,Mon,Original_Definition
Tail,ပုတ်,"1 (n) [Skt. puccha] tail,  base of spine, sloping part of animal’s back above tail, the end of the body."
Tail end,ဒကုတ်လ္ပာ်လက်ကရဴ,(n) tail end.
Tail of a sting ray,ဗတ,ဗ္တက ကပါ(n) tail of a sting ray.
Tail of animal or reptile.  ဗ္တ။,ဗတ,(n) tail of animal or reptile. [id] ဗ္တ။
Tail of bird,ဍုတ်,(n) tail of bird.
Tail of false hair,ပါသ်ဒွက်သော်,(n) tail of false hair.
Tail of false hair,ပါသ်ဒွက်သော်,(n) tail of false hair.
Tail wind,ကျာဍုတ်,(n) tail wind.
Taillight,ပၟတ်မစုတ်လဝ်အပ္ဍဲဍုတ်ကွဳပၟတ်ကဵုကွဳစက်,(n) taillight.
Tailor,သၟာဇၟိၚ်,"(n) tailor, seamstress. [id.] သၟတ်ဗြဴဇိၚ်စေက်။ [Syn.] ရဲဇိၚ်စက်။"
Tailor bird,ဂစေံတၞောတ်,(n) tailor bird.
Tailor-bird.  ဂစေံကၞောတ်။,ဂစေံကၞောတ်,(n) tailor-bird. [id] ဂစေံကၞောတ်။
Tailor.  ဇိၚ်  to sew,ဇၟိၚ်ပ္ကဴ,သၟာဇၟိၚ် (n) tailor. [Der.] ဇိၚ် (v) to sew.
Tailor.  ဇိၚ်  to sew.  ဇိၚ်ကၞောတ်။,ဇမိၚ်,သၟာဇၟိၚ် (n) tailor. [Der.] ဇိၚ် (v) to sew. [id] ဇိၚ်ကၞောတ်။
Tailor.  မၞိဟ်ဇၟိၚ်။,မၞိဟ်ဇိၚ်စ,(n) tailor. [Syn.] မၞိဟ်ဇၟိၚ်။
Tailor.  သၟာဇၟိၚ်။,ရဲဇိၚ်စက်,(n) tailor. [Syn.] သၟာဇၟိၚ်။
Tailor.  သၟာဇၟိၚ်။  သၟာဇၟန်ကဴ။  သၟာကဴ။,ခမှာဇၟိၚ်,(n) tailor. [id] သၟာဇၟိၚ်။ [Syn.] သၟာဇၟန်ကဴ။ [Cf.] သၟာကဴ။
Taintless.  မဗၠးကဵုဒုဟ်ပၞေတ်ပၞေၚ်။,မဗၠးကဵအဍံက်အဍေန်,(adj) taintless. [id] မဗၠးကဵုဒုဟ်ပၞေတ်ပၞေၚ်။
Tak measures for comparison,ၜတ်ကၞာတ်ပြိုၚ်ပ္ကာန်,"(v) tak measures for comparison, to compete, to contest. [id.] ၜတ်ပြိုၚ်။"
