English,Mon,Original_Definition
Gardenia coronaria gobtusifolia.  တၞံလ္ဂာ။  ဒ္ဂာ၊ ဓဂါ။,လ္ဂာ,"(n) a kind of timber tree, Gardenia coronaria Hamilton, a tall tree bearing fragrant flowers in the month of စဲ(ယ်) April, Gardenia coronaria Gobtusifolia. [id.] တၞံလ္ဂာ။ [Var.] ဒ္ဂာ၊ ဓဂါ။"
Gardenia coronaria hamilton,လ္ဂာ,"(n) a kind of timber tree, Gardenia coronaria Hamilton, a tall tree bearing fragrant flowers in the month of စဲ(ယ်) April, Gardenia coronaria Gobtusifolia. [id.] တၞံလ္ဂာ။ [Var.] ဒ္ဂာ၊ ဓဂါ။"
Gardenia coronaria hamilton.  တၞံဒဂါ။  စဂါ၊ လဂါ။,ဒဂါ,"1 (n) a kind of timber tree, Gardenia coronaria Hamilton. [id] တၞံဒဂါ။ [Syn.] စဂါ၊ လဂါ။"
Gardenia coronaria hamitton.  တၞံဓဂါ။  လ္ဂာ။,ဓဂါ,"(n) kind of timber tree yielding fruit, Gardenia coronaria Hamitton. [id] တၞံဓဂါ။ [Syn.] လ္ဂာ။"
Gardenia coronaria harnilton,တၞံဒဂါ,"(n) a kind of timber tree, Gardenia coronaria Harnilton."
Gardenia erythroclada kuiz,ကွိတ်,"(n) wood-apple, Gardenia erythroclada Kuiz, elephant apple, Feroma elephantum Correa. [id] ဆုကွိတ်၊ တၞံကွိတ်။ [Cf.] ကိုတ်။"
Gardenia erythroclada kury,ဆုကွက်,"(n) wood-apple, Gardenia erythroclada Kury, elephant apple, Feronia elephantum Correa. [Syn.] ကွိတ်၊ တၞံကွိတ်။"
Garden’s fence.  ဒၞး။,ဂနး,ဂၞးကၠံ(အ်) (n) garden’s fence. [Var.] ဒၞး။
Garden’s fence.  ဒၞး။,ဂၞး,ဂၞးကၠံ(အ်) (n) garden’s fence. [Var.] ဒၞး။
Garfish,ကခဂေါၚ်,"(n) garfish, Belone cancila Hamilton Buchanan. [id] ကဗဂေါၚ်။"
Garfish,ကဗဂေါၚ်,"(n) garfish, Belone cancila Hamilton Buchanan."
Gargle,ၜေါ,"(v) gargle, to rinse out."
Garish colour or the colour of palmyra fruit ,အတာ,"(n) {arch} unit of distance measure {equal to7 cubits}, duty, allotment of duty, responsibility, assignment, barrier, garish colour or the colour of Palmyra fruit {as dog, cow, fowl}."
Garland,ဇမန်,"(n) garland, decoration of flowers formally arranged and strung together. [id] ဇၟန်၊ ဇၟန်ကဴ။    [Der.] ဇန် (v) to string together."
Garland,ဇၟန်,"(n) garland, nosegay, decoration of flowers formally arranged and strung together. [id] ဇၟန်ကဴ၊ ဇၟန်ပ္ကဴ။"
Garland,ပ္ကဴဇၟောန်,(n) garland.
Garland,မာလာ,"(n) [P.] flower, garland."
Garland,မာလဳ,"(n) [P.] wreath, garland, necklace. [id] မာလေ။"
Garland-seller,ခမှာဇၟန်ကဴ,"(n) garland-seller, flower-seller. [id] သၟာန်ဇၟန်ကဴ။ [Cf.] သၟာကဴ။"
Garland-seller,သၟာဇၟန်ပ္ကဴ,"(n) garland-seller, flower-seller. [Syn.] သၟာပ္ကဴ။"
Garland.  ကဴဇၟန်၊ ကဴဇၟောန်။,ကဴဇန်,(n) garland. [id] ကဴဇၟန်၊ ကဴဇၟောန်။
Garland.  ပ္ကဴဇၟောန်။,ပ္ကဴဇၟန်,(n) garland. [id] ပ္ကဴဇၟောန်။
Garlic,ဂဂေံါ,"ဍာ်ဂဂေံါ(မ်) (n) bitter preparation of fish and vegetables given to stimulate lactation, a preparation of smoked fish, vegetable, pepper, garlic, and ngapi taken by women after childbirth, to stimulate lactation."
Garlic,ဂစိုတ်ကၠေၚ်,"(v) add onions, garlic, etc. to treat oil."
Garlic,ဍာ်ဂဂမ်ခၞံ,"ဍာ်ဂဂံခၞံ(မ်) (n) a preparation fish, prawn or fowl with plantain stock, lemon grass, onion, garlic, fish paste ခရံက် pepper and salt, eaten with the home made vermicelli."
