English,Mon,Original_Definition
Call for rain by holding tug-of-war contests and sounding of drums etc. in accordance with local customs,ကော်ဗြဲ,"(v) call for rain by holding tug-of-war contests and sounding of drums etc. in accordance with local customs, to croak. [id] တံၚ်အုတ်။"
Call into,ဗဒှ်,"(v) to cause to be, to make, to create, to institute, call into, arrange, organize, found."
Call into,ဗဒဟ်,"(v) to cause to be, to make, to create, to institute, call into, arrange, organize, found."
Call into being,ပဒှ်,"(v) to institute, call into being, arrange, organize, found, to make, to cause, to build. [id] ဗဒှ်(ဟ်)။"
Call on,ဟီုဗ္ဒောံ(အ်),"(v) to stop, call on, ask."
Call on to witness,သက်သဳ,"တက်သက်သဳ (n) to call as a witness, call on to witness."
Call onto witness,တက်သက်သဳ,"(v) to call as a witness, call onto witness."
Call out.  ဂရိုအ်ဂတေဝ်၊ ဗလးရမျှာၚ်၊ လရိုအ်ယာံ၊ လလောၚ်၊ လလောၚ်ကမြဴ။,ဂတေဝ်ကော်,(v) call out. [id] ဂရိုအ်ဂတေဝ်၊ ဗလးရမျှာၚ်၊ လရိုအ်ယာံ၊ လလောၚ်၊ လလောၚ်ကမြဴ။
Call to account,ဂြၚ်လပှ်,"1 (n) the crest of the wave, call to account."
Call to mind,ဗှ်,"3 (v) to remember, call to mind, think of, long for, miss.    အဲဗှ်မံၚ်နာဲညှာ (v) I was thinking of Nai Hnya.    [Der.] ဗၞုဟ် (v) think of."
Call to mind,ဗဟ်,"3 (v) to remember, call to mind, think of, long for, miss.    အဲဗှ်မံၚ်နာဲညှာ (v) I was thinking of Nai Hnya.    [Der.] ဗၞုဟ် (v) think of."
Call to mind,ဗှ်ဗၞုဟ်,"(v) call to mind, to commemorate, celebrate, invoke, to think of with interest."
Call to mind,ဗှ်ဗၞုဟ်တိုန်,"(v) call to mind, long for, miss. [id] ဗၞုဟ်တိုန်၊ သမ္တီဒး။"
Call upon. n.  ပွမကၠုၚ်ဝေၚ်မွဲချိုန်ခဏ၊ ပွမနွံပၟိက်၊ ပွမသ္ကီုစေက်၊ ပွမသ္ကဵုဒုၚ်ဖ္အိုတ်၊ ရမျှာၚ်ကရေဲ၊ ရမျှာၚ်ကော်။,ဂၠာဲ,"(v) to look for, to search for, seek, call upon. n. [id] ပွမကၠုၚ်ဝေၚ်မွဲချိုန်ခဏ၊ ပွမနွံပၟိက်၊ ပွမသ္ကီုစေက်၊ ပွမသ္ကဵုဒုၚ်ဖ္အိုတ်၊ ရမျှာၚ်ကရေဲ၊ ရမျှာၚ်ကော်။"
Called his sons and daughters together,ကော်ပကောံကောန်ဇာတ်ဂမၠိုၚ်,(v) called his sons and daughters together.
Called into organize ကလော် spirit dances,ဒေါၚ်,"(n) shaman, often female, called into organize ကလော်(က်) spirit dances, spirit medium."
Called.  ကော်  if,မ္ဂး,1 (adj) called. [id] ကော်(က်) (conj) if.
Called.  ဂးယၟု၊ မဟိမု။,ဣမု,"(adj.) named, called. [Cf.] ဂးယၟု၊ မဟိမု။"
Called.  ဣမု၊ ကော်ခဴစ၊ ဂးယၟု။,မဟိမု,"1 (adj) named, called. [Cf.] ဣမု၊ ကော်ခဴစ၊ ဂးယၟု။"
Caller,ကမၠောန်,"(n) work, royal attendants, female attendants, occupation, business, enterprise, task, job, caller, calling."
Callichrous macrophthalums blythe,ကကတီု,"(n) silvery cat fish, butter fish, Callichrous macrophthalums Blythe."
Calling,ကမၠောန်,"(n) work, royal attendants, female attendants, occupation, business, enterprise, task, job, caller, calling."
Calling attention on meeting,ခလဵု,"1 (n) exclamation, calling attention on meeting."
Callocalia fuciphaga,ဒံၚ်ဒါၚ်ဂၚ်,"(n) peacock-like bird with wings of wondrous hues, edible bird-nest (of the swiftest), Callocalia fuciphaga, Cesculanta."
Callous,ခိုၚ်,"စိုတ်ခိုၚ် (v) to be impassive, callous."
Callous,စိုတ်ခိုၚ်,"(v) to be impassive, callous."
Calls for repetition of utterance,အဴ,"(n) sir, madam, lord, used in replying to the call of a superior and at the close of a petition. [ps.] [Bur] standing alone, calls for repetition of utterance, eh? {formal, [esp.] in oratorical style}, final in sent, implies deference between the persons addressed, {Saim} standing alone, acknowledges an utterance, yes, all right."
Callus.  ယဲမတ်က။,မတ်က,"(n) corn, callus. [id] ယဲမတ်က။"
Calm,ဇြုၚ်,"1 (v) to be clear, pure, calm, serene.    ဂေါဝ်ဇြုၚ် (v) to be comely, elegant. [Cf.] အး၊ ကေဝ်၊ ကၠး၊ ဍက်၊ သောၚ်။"
Calm,ပၠာံ,"1 (v) to soothe, calm."
Calm,ပၠာမ်,"1 (v) to soothe, calm."
Calm,သ္ဇုၚ်,"(v) to be clear, pure, calm, serene, limpid."
Calm  down,ပၠာံဗဇး,"(v) to soothe, to calm, persuade, coax, placate, calm {somebody} down."
Calm state of mind,ဖျေံဘဝၚ်,"(v) calm state of mind, to achieve passivity of mind divest oneself of conscious striving."
Calm {there is the last of the eightfold noble path),သၟာဓိ,"(n) [P.] peace, calm {there is the last of the eightfold noble path)."
Calmly.  နဒဒှ်မသ္ကဵုတန်ကြန်။,နဒဒှ်မသ္ကဵုညိၚ်ဝတ်,(adv) calmly. [id] နဒဒှ်မသ္ကဵုတန်ကြန်။
Calmness,ဒဒှ်ဇကုဇကု ဇကုထိၚ်မာန်,"(n) self-possession, calmness, composure."
Calmness,ဒဒှ်မညိၚ်ဝတ်,"(n) calmness, tranquility. [id] ဒဒှ်မတန်ကြန်၊ ဒဒှ်မသ္ၚိတ်ဇြ၊ ဒတန်စိုတ်၊ ပွမပ္တန်စိုတ်။"
Calomel.  ကာၚ်။,သ္ကာၚ်,(n) ၜဵုသ္ကာၚ် (n) calomel. [id.] ကာၚ်။
Calomel.  ၜဵုကာၚ်။,ကာၚ်,(n) calomel. [id] ၜဵုကာၚ်။
Calomel.  ၜဵုသ္ကာၚ်။,ၜဵုကာၚ်,(n) calomel. [Syn.] ၜဵုသ္ကာၚ်။
Calophyllum inophyllum,ကဴပၞာ်,"(n) Alexandrian laurel, Calophyllum inophyllum."
Calosanthes indica,အေက်,"2 (n) ဂြၚ်အေက် trumpet flower-tree, Calosanthes Indica, Oroxylum indicum tree, the Indian trumpet, Bignonia indica."
Calotes versicolar daudin.  ခကုဲ၊ ထကုဲ။,ဒကုဲ,"2 (n) chameleon, bloodsucker lizard, Calotes versicolar Daudin. [Syn.] ခကုဲ၊ ထကုဲ။"
Calotes versicolor daudin,ခကုဲ,"1 (n) blood sucker lizard, Calotes versicolor Daudin."
Calotes versicolor daudin.  ထ္ကုဲ။    ထ္ကုဲသၞေၚ်  flying lizard,ထကုဲ,"1 (n) a kind of chameleon, blood sucker lizard, Calotes versicolor daudin. [id] ထ္ကုဲ။    ထ္ကုဲသၞေၚ် (n) flying lizard, Draco. [Var.] ခကုဲ၊ ဂကုဲ၊ ဒကုဲ။"
Calotropic proecra,တၞံအဘိက်,"(n) swallow-wort, muder, a kind of shrub, Calotropic proecra."
Calumniate,ဗျဵုပလီု,"(v) to slander, calumniate."
Calumny,ဂလာန်မပိုဟ်ဂုန်,"(n) calumny, slander."
Camaraderie,ဓါတ်စိုတ်သၚ်ဃာတ်,"(n) camaraderie, comradeship {esprit de corps}."
Came to an end,မပိုတ်,(adj) {of lineage} came to an end.
Camel.    ဂစေံအုတ်  ostrich,အုတ်,1 (n) [P. ottho] [Skt. ustra] camel.    ဂစေံအုတ် (n) ostrich.
Camellia thea link,လက်ဖက်,"(n) tea, tea plant, Camellia thea Link, tea-leaves."
Camera,စက်တက်ဗီု,(n) camera.
Camera ,ကိမ်မရာ,(n) [Eng.] camera {for photograph}.
Camp,တမၞက်,"(n) camp, halting-place, pavilion. [Cf.] ဒၟံၚ်၊ ပၞက်၊ ဗဒိုပ်၊ သၞက်။"
Camp,ဒဒိုပ်,"(n) camp, place where a halt is made for the night."
Camp,ပၞက်,"1 (n) camp, halting-place. [Cf.] တမၞက်၊ ဒၟံၚ်၊ ဗ္ဒိုပ်၊ သၞက်။"
Camp,ဗဒိုပ်,"1 (v) camp, place where a halt is made for the night, a resting-place. [id] ဗ္ဒိုပ်။    ဒၞာဲဏံဇွောံဂွံသ္ပဗ္ဒိုပ်ခိုဟ်ဟွံသေၚ်ဟာ (n) this place will do to make camp at won’t it?.    သ္ပဗ္ဒိုပ် (v) to make camp, to encamp. [Cf] ဒၟံၚ်၊ ဒဒိုပ်၊ ပၞက်။    ဗ္ဒိုပ်အဒေါဝ်ဂၠံၚ် (n) way station. [id] ဗ္ဒိုပ်အဒေါဝ်ဂၠံၚ်တရဴ။    ဗ္ဒိုပ်စိၚ်ကၠ (n) wild beast’s lair, thick jungle.    ဗ္ဒိုပ်တာဲမဒုၚ်အခေါန်ဖလှာ (n) toll house.    ဗ္ဒိုပ်ဒပ် (n) encampment, bivouac, military station, military base.    ဗ္ဒိုပ်ဒၞာဲမထောံတၟံပ္ဍဲက္ၜဳ (n) roads, roadstead. [id] ဗ္ဒို်ပ်ဒၞာဲမထောံဂြၚ်တၟံပ္ဍဲက္ၜဳ။    ဗ္ဒိုပ်ပၞာန် (n) military camp.    ဗ္ဒိုပ်ဖ္အံၚ် (n) buffalo wallow, pasture.    ဗ္ဒိုပ်ဗဵု(ဝ်) (n) circuit house.    ဗ္ဒိုပ်ဗၠာဲသၟိၚ် (n) police station, precinct.    ဗ္ဒိုပ်မၞိဟ်စအကြာသွံရာန် (n) bfoker’s sales centre.    ဗ္ဒိုပ်ရဲဒှ်ဒဒိုက် (n) refugee camp."
Camp,သၞက်,"1 (n) camp, halting place. [id.] တမၞက်၊ ဒၟံၚ်၊ ပၞက်၊ ဗ္ဒိုပ်။"
Camp fire festivity,ပေဲါလှေ်ဂေတ်ပၟတ်ဂအုံ,(n) camp fire festivity.
Camp fireplace,မၚ်ဂုၚ်,"(n) camp fireplace, it is made by two saplings length wise, by mean of stakes driven into the ground wide enough to hold the pots and high enough to make the fires below. [id] မာၚ်ဂုၚ်။"
Camp fireplace.  မၚ်ဂုၚ်။,မာၚ်ဂုၚ်,(n) camp fireplace. [id] မၚ်ဂုၚ်။
Camp-cot,ခါတ်ခလပ်,"(n) camp-cot, folding bed. [Cf.] သ္တိက်။ [Syn.] ဇံၚ်၊ ဒေန်။"
Campaigner,မၞိဟ်မပါလုပ်ကရောံကမၠောန်လုပ်ပေဲါဗ္တိုက်,(n) campaigner.
Camphor ball,ပရုတ်မမ,"(n) camphor ball, moth ball, naphthalene ball."
Camphor ball,မပရုတ်,"(n) camphor ball, moth ball, naphthalene bal.."
Camphor ointment,ကၠေၚ်ပရုတ်,"(n) camphor ointment, camphorated oil, balm."
Camphor ointment,တၠေၚ်ပရုတ်,(n) camphor ointment.
Camphor tree,ဂြုံ,ဂြုမ် (n) ဇြုံဂြုံ (n) camphor tree.
Camphor.  ပရတ်။,ပရုတ်,(n) camphor. [Cf.] ပရတ်။
Camphor.  ပရုတ်။,ပရတ်,(n) camphor. [Cf.] ပရုတ်။
