English,Mon,Original_Definition
Safety pin.  တၞိၚ်ချတ်စ၊ ဂျိက်။,တၞိၚ်ကၞောတ်,(n) safety pin. [id] တၞိၚ်ချတ်စ၊ ဂျိက်။
Safety.  ဒဒှ်မနွံကဵုပရေၚ်ဂီုကၠီု၊ ဒါန်လမျီု၊ ပရာ်။,ဒဒှ်မဟၟဲကဵုအန္တရာဲဘဲ,(n) safety. [id] ဒဒှ်မနွံကဵုပရေၚ်ဂီုကၠီု၊ ဒါန်လမျီု၊ ပရာ်။
Safflower,ပ္ကဴဝတ်,"(n) safflower, Carthamus tinctorius."
Saffron,ကမေံ,ကမေံ(မ်) (n) ကုံကမေံ(မ်) (n) saffron.
Saffron,ကရာန်,2 (n) ကုံကရာန် (n) saffron.
Sag,တၞံဝါၚ်,"(n) sag, basil, Ocimum canum, species of mint."
Sagacious,စဳကၠး,"(v) to be experienced, sagacious, to be clear, manifest, to be skillful, versed in, sensible."
Sagacity,ဒဒှ်မဒှ်မသ္ဂုတ်သွာတ်လဝ်တပ်တပ်တးတး,(n) sagacity.
Sage,ညးမနွံကဵုပညာ,"(n) man of wisdom, sage, learned person, savant."
Sagely,နဒဒှ်မဒှ်ညးမနွံကဵုပညာ,(adv) sagely.
Sago,တၞံသာဂူ,"(n) sago, sago-palm."
Sago,သာဂူ,"(n) [Malay] Sago, starchy food in the form of hard white grains, used in puddings."
Sago etc,ဝှလူဒါ,"(n) [Hindi] faluda, sweet milk drink served with ice-cream, sago etc."
Sago-palm,တၞံသာဂူ,"(n) sago, sago-palm."
Sail,လှ,သၠယာ (n) sail.
Sail,သၠယာ,(n) sail.
Sail.    ဇဵုယာ  yard.    ဇက်ယာ  to sail.    တိုၚ်ယာ  mast.  ဒယိုၚ်ယာ။    သၠယာ  sail,ယာ,1 (n) sail.    ဇဵုယာ (n) yard.    ဇက်ယာ (v) to sail.    တိုၚ်ယာ (n) mast. [id.] ဒယိုၚ်ယာ။    သၠယာ (n) sail.
Sailing,ဒဒှ်မတၚ်ယာဂၠဟ်ဒုန်,(n) sailing.
Sailor,ကောန်က္ၜၚ်,"(n) sailor, seaman. [id] ကောန်ပၞာန်ဒပ်ဍာ်(က်)၊ မၞိဟ်မစိုန်သ္ကီုလ္ပာ်ဂၠံၚ်ဍာ်(က်)။"
Sailor sea men.  ကောန်က္ၜၚ်။,ကောန်ၜၚ်,(n) sailor sea men. [id] ကောန်က္ၜၚ်။
Saim generally to superiors,ပိုဲ,"ဍုၚ်မန်ဗၟာပိုဲ (pron) this country is ours or is our Mons and Burmeses. Honorific, in references to elder relations, my, our aunt. [Cf.] အပါဗှေ်တံ(အ်)။ & c. ပိုဲဍိက် (n) {respectful} we slave, Bur. when addressing moks, Saim generally to superiors, we, us. [Cf.] အဲ(ယ်)။"
Saim generally to superiors,ပိုယ်,"ဍုၚ်မန်ဗၟာပိုဲ (pron) this country is ours or is our Mons and Burmeses. Honorific, in references to elder relations, my, our aunt. [Cf.] အပါဗှေ်တံ(အ်)။ & c. ပိုဲဍိက် (n) {respectful} we slave, Bur. when addressing moks, Saim generally to superiors, we, us. [Cf.] အဲ(ယ်)။"
Saint,မုနိ,"(n) [P.] saint, holy man."
Saint,အရဳ,"(n) holy person, saint."
Saintliness,ဒဒှ်မဒှ်ပူဂဵုတၟေၚ်မဍိုက်ပေၚ်တဴကဵုဓဝ်,(n) saintliness.
Saintly,ခမှဳ,"ခမဳအရဳ (n) one who has trod the Right Path and garnered it’s fruits, the religious, sanctified, holy, saintly, noble person."
Saintly,မပြဲတဴ,(adj) saintly.
Saintly,အရဳ,"(adj.) [P. ariyo] saintly, pious, faithful person."
Saintly person,ညးမပြဲ,(n) saintly person.
Sake,အကွက်,"(n) {matter of} account, sake, behalf, for the sake of, on behalf of, for the duration of, in order to, in order to, in order that, so as to, because of. [id.] သွက်၊ ဘိုအ်။"
Sake,အၚ္ၚာံ,"(conj.) because of, on account of.(prep.) for, for the sake of.(n) account, sake, behalf, share, portion. [id.] အ္ၚာံ။"
Sakya,သာကျ,"(num, aux) Sakya, the race from which Gotama Buddha sprang, the race of Gotama Buddha."
Sal tree,တၞံဓိတာန်,"(n) sal tree, Shorea robusta Roxburgh. [id] ဓိတာန်။"
Sal tree,ဓိတာန်,"1 (n) sal tree, kind of tree, Albizzia lebbek,  rain tree, Samanea, shorea robusta Roxburgh. [id] တၞံဓိတာန်။"
Salad,သၞေဝ်လတ်လတ်ဘတ်ဘတ်,(n) salad.
Salad prepared with condiments,ကဝေက်,"5 (n) salad prepared with condiments, vegetables noodle, etc. salad of vegetables and meat or fish cut up and mixed together.    ကဝေက်ဍာ်ကလောံ (n) water-ice made with shaved ice and garnished with fruits and nuts. [Cf.] ကၞပ်။    [Der.] ပေက် (v) to prepare a salad."
Salammoniae,ဇဝက်သာ,"(n) salammoniae, muriate of ammonia."
Salanm melongena l.  ခဍောၚ်။    တၞံခ္ဍောၚ်  eggplant.    ခ္ဍောၚ်စိၚ်  large eggplant.    ခ္ဍောၚ်ဇိုၚ်ကၠဵု  wild tomato,ခ္ဍောၚ်,"3 (n) aubergine, eggplant, {Am} brinjal, Salanm melongena L. [id] ခဍောၚ်။    တၞံခ္ဍောၚ် (n) eggplant.    ခ္ဍောၚ်စိၚ် (n) large eggplant.    ခ္ဍောၚ်ဇိုၚ်ကၠဵု(ဝ်) (v) wild tomato, Lycopersicum esculentum wallich.    ခ္ဍောၚ်တာ (v) large variety of eggplant, S. ferox L. or variety of S. melongena.    ခ္ဍောၚ်ဗ္စး (n) tomato, S. torvum Swartz. [id] ခ္ဍောၚ်ခစး။    ခ္ဍောၚ်မတ် (n) eyeball."
Salanm melongena l.  ခ္ဍောၚ်။    တၞံခ္ဍောၚ်  eggplant.    ခ္ဍောၚ်စိၚ်  large eggplant.    ခ္ဍောၚ်ဇိုၚ်ကၠဵု  wild tomato,ခဍောၚ်,"3 (n) aubergine, eggplant, {Am} brinjal, Salanm melongena L. [id] ခ္ဍောၚ်။    တၞံခ္ဍောၚ် (n) eggplant.    ခ္ဍောၚ်စိၚ် (n) large eggplant.    ခ္ဍောၚ်ဇိုၚ်ကၠဵု(ဝ်) (v) wild tomato, Lycopersicum esculentum wallich.    ခ္ဍောၚ်တာ (v) large variety of eggplant, S. ferox L. or variety of S. melongena.    ခ္ဍောၚ်ဗ္စး (n) tomato, S. torvum Swartz. [id] ခ္ဍောၚ်ခစး။    ခ္ဍောၚ်မတ် (n) eyeball."
Salaried worker,ရဲစသြန်ဂိတု,"(n) worker on payroll, salary earner, salaried worker."
