English,Mon,Original_Definition
Baht,သ္ကေဝ်,"1 (n) weight, standard unit of weight or coinage, kyat, rupee, baht, tical, standard.    ဒ္ကေဝ်  2 (n) ဍေံထတ်ၜိုတ်သ္ကေဝ်ဇာဒိသိုၚ် (n) he is as strong as a lion.    ပိသ္ကေဝ် (n) three kyats [Bur], three ticals [Siam].    ဗှ်ေဒိုဟ်ၜိုတ်သ္ကေဝ်ကၞုဲ(ယ်) (n) you are as stupid as monkey.    ဟွံပေၚ်သ္ကေဝ် (n) he is not all there./n   ၜိုတ်သ္ကေဝ်ဏံ(အ်) (n) this is the side of it, this is how it is. [Cf.] ဂယိုၚ်၊ နှီ(မ်)၊ မူ၊ မး၊ လယိုၚ်၊ လျိုၚ်၊ ၜဲ(ယ်)။    [Der.] ကေဝ် (v) to weight."
Baht,သြန်,"(n) silver, money, {when quantified} unit of money, kyat, rupee, baht, tical."
Bail,သၞာတ်,"1 (n) bail, bailing scoop. [id.] ခၞာတ်။"
Bail,သြာတ်,"(v) to scoop up, draw, bale, bail, to bale water. [Cf.] တုက်၊ တံၚ်၊ တၟံက်၊ ဒလာၚ်။ [Var.] သာတ်၊ သှာတ်။"
Bail,သှာတ်,"(n) to scoop up, draw, bail, bale. [Cf.] တုက်၊ တံၚ်၊ တၟံတ်၊ ဒလာၚ်။ [Der.] ခၞာတ် (n) bale. [id.] သၞာတ်။"
Bail.  တုက်၊ တၟံက်၊ တံၚ်၊ ဒလာၚ်။     သၞာတ်  baleer,သာတ်,"1 (v) to scoop up, draw, bale, bail. [Cf.] တုက်၊ တၟံက်၊ တံၚ်၊ ဒလာၚ်။    [Der.] သၞာတ် (n) baleer, bailing scoop."
Bailiff,ဗေလေပ်,(n) {Eng.} bailiff.
Bailing scoop,သာတ်,"1 (v) to scoop up, draw, bale, bail. [Cf.] တုက်၊ တၟံက်၊ တံၚ်၊ ဒလာၚ်။    [Der.] သၞာတ် (n) baleer, bailing scoop."
Bailing scoop.  ခၞာတ်။,သၞာတ်,"1 (n) bail, bailing scoop. [id.] ခၞာတ်။"
Bait,က္ဍန်,"2 (v) lure, bait, catch with a bait, to catch with hook and line, angle, fish, tempt.    က္ဍန်က (v) to catch fish with hook and line. [Cf.] ကိုပ်၊ ဇာၚ်၊ ပံါ(မ်)။    [Der.] ခၞောန် (n) fish hook."
Bait.    စုတ်ပရန်  to bait a hook,ပရန်,"1 (n) bait.    စုတ်ပရန် (n) to bait a hook, fishing bait."
Bake,စံၚ်,"3 (v) to set light to, burn, ignite, to roast, bake, to be burning, set fire to, consume with fire.    ကျာစံၚ်ပရၚ် (n) wind on the stomach. [Cf.] တောံ(မ်)၊ with fire.    ကျာစံၚ်ပရံၚ် (n) wind on the stomach. [Cf.] တောံ(မ်)၊ သၟာန်။    [Der.] အစံၚ်(အတူ) (n) distress of mind.    စၞံၚ် (n) burning, star. [id] သၞံၚ်။    ကွာဲကီု အလူကီု အရောတ်ကီု စံၚ်စခိုဟ်ဗွဲမလောန် (v) yams, potatoes and arrowroot are all very good to eat backed.    ရာပ်စာပ်ကရပ်သ္ၚိတံဂှ် စံၚ်ထောံပၟတ် (v) burn the undergrowth round the house."
Baked on potsherd.  ကွာၚ်ကဝေက်။,ကွာၚ်တဝေက်,"(n) kind of pancake, baked on potsherd. [id] ကွာၚ်ကဝေက်။"
Baker,ညးဖျိန်ကွာၚ်,"(n) pastry cook, baker."
Baker.  မၞိဟ်ကၠောန်ကွာၚ်။,သၟာကွာၚ်,(n) baker. [id.] မၞိဟ်ကၠောန်ကွာၚ်။
Baker.  သၟာကွာၚ်။,ခမှာကွာၚ်,(n) baker. [id] သၟာကွာၚ်။
Baking powder.  ခၞိက်ကၠောန်ကွာၚ်။,ခၞိက်ဂဥုဲကွဲကၠောန်ကွာၚ်,(n) baking powder. [id] ခၞိက်ကၠောန်ကွာၚ်။
Baking powder.  သဝ်ရာစ။,သဝ်ဒါစ,"(n) sodium bicarbonate, baking soda, baking powder. [Var.] သဝ်ရာစ။"
Baking soda,သဝ်ဒါစ,"(n) sodium bicarbonate, baking soda, baking powder. [Var.] သဝ်ရာစ။"
Balachong,ခရံက်ခၞာ,"(n) fired prawn paste, balachong."
Balachong,ဖရံက်,"ဖရံက်ခၞာ (n) fried prawn paste, balachong."
Balaclava helment,ဂရောပ်က္ဍိုပ်,"(n) stocking cap, balaclava helment."
Balaclava helmet,ဇရောပ်က္ဍိုပ်,(n) balaclava helmet.
Balance,တြာဇူ,"(n) scale, balance, large scales."
Balance,လှ,"သၠဒကေဝ် (n) scales, balance, weighing scales, weighing-machine."
Balance,သ္ကေဝ်,"2 (v) to weigh.    အဲမိက်ဂွံတီလျိုၚ်ဍေံသ္ကေဝ်ရံၚ်ညိ (v) please weigh it, I want to know how much?    သၠသ္ကေဝ် (n) weighing scales, scales, balance."
Balance,သြန်သှ်ေ,"(n) balance, cash in hand."
Balance,သၠဒ္ကေဝ်,"(n) scales, balance, pair of scales."
Balance rope of a kite.  ဇုက်ကသး။,ကသး,(n) balance rope of a kite. [id] ဇုက်ကသး။
Balance sheet,စရၚ်သၠုဲသှ်ေသၟေဟ်,"(n) debit and credit statement, balance sheet."
