English,Mon,Original_Definition
Yielding reddish,တၞံအၚ်,"(n) generic name for various species of Dipterocarpus, a broad-leaves tall timber tree, yielding reddish, resinous wood, species of dipterocarpus, Dipterocarpus tuberculatus."
Yielding sour fruit,တၞံဂအဳလၚ်,"(n) cringe tree, Averrhoa carambola L., yielding sour fruit."
Yinbaw,ယျေန်ၜဝ်,"(n) Yinbaw, name of an ethnic group speaking a kind of Tibeto-Burman language and inhabiting parts of in the Kayah State."
Yingya,ယျေန်ကျာ,"(n) Yingya, name of an ethnic group speaking a kind of Mon-Khmer language and inhabiting parts of the Kayah State."
Yinnet,ယျေန်နိတ်,"(n) Yinnet, name of an ethnic group speaking Mon-Khmer language and inhabiting the Namsang area in the southern Shan State."
Yintale,ယျေန်တလေဝ်,"(n) Yintale, name of an ethnic group speaking Tibeto-Burman language and inhabiting parts of in the Kayah State."
Yoghurt,ဍာ်တှ်ဓမ်,"(n) curd, curded milk, yogurt, yoghurt."
Yoghurt,ဍာ်တှ်ဓံ,"ဍာ်တှ်ဓမ် (n) curd, curded milk, yogurt, yoghurt."
Yoghurt.  ဒိၚ်၊ ဓံ။,ဍာ်တှ်ဗ္စး,"(n) sour milk, curds, curdled-milk, yogurt, yoghurt. [Cf.] ဒိၚ်၊ ဓံ(မ်)။"
Yogi,ယောဂဳ,"(n) [P.] ascetic, fakir, Yogi, one who practises yoga, one who practises religious meditation."
Yogurt,ဍာ်တှ်ဓမ်,"(n) curd, curded milk, yogurt, yoghurt."
Yogurt,ဍာ်တှ်ဓံ,"ဍာ်တှ်ဓမ် (n) curd, curded milk, yogurt, yoghurt."
Yogurt,ဍာ်တှ်ဗ္စး,"(n) sour milk, curds, curdled-milk, yogurt, yoghurt. [Cf.] ဒိၚ်၊ ဓံ(မ်)။"
Yoke,တ္ၚောဝ်,"(n) yoke, pair {of bullocks}. [id] လ္ၚောဝ်။"
Yoke,ဒလေၚ်,"(n) porter, porter’s yoke, carrying pole, yoke, [Syn] ဂလေၚ်။ [Der] ဂၠေၚ် (v) to carry on a yoke, vocalic infix."
Yoke,လ္ၚဝ်,"(n) yoke, pair {of bullocks} couple, pair."
Yoke of cart.  ကၟး၊ ပၟး။    က္တောဝ်ကၟး  yoke pin hole.    တဝ်ကၟး  yoke pin,ကမး,1 (n) yoke of cart. [id] ကၟး၊ ပၟး။    က္တောဝ်ကၟး (n) yoke pin hole.    တဝ်ကၟး (n) yoke pin.
Yoke pin hole,က္တောဝ်ကၟး,(n) yoke pin hole.
Yoke put on pairsoner’s. ကရာန်ဂါကံ။,ကရာန်ဂါကံ,(n) yoke put on pairsoner’s. ကရာန်ဂါကံ(အ်)။
Yoke-pin of cart,က္တောဝ်ပၟး,"(n) yoke-pin of cart, pin of yoke. [Syn.] တဝ်ပၟး။"
Yoke-pin.  တဝ်ပၟး။  ပၟး။  ကတောဝ်ပၟး။,တဝ်ကၟး,"(n) pin passing through yoke of cart and keeping bullock in place, pair of wooden pins used to harness draught animal to the yoke, yoke-pin. [id] တဝ်ပၟး။ [Cf.] ပၟး။ [Syn.] ကတောဝ်ပၟး။"
Yoke.  စုံ၊ ဆော။  ဒ္ၚဝ်။,လ္ၚဝ်,ပၟးတဝ်လ္ၚဝ် (n) yoke. [Cf.] စုံ(မ်)၊ ဆော။ [Var.] ဒ္ၚဝ်။
Yoke.  စုံ၊ ဆော။  ဒ္ၚောဝ်၊ လ္ၚဝ်။,တ္ၚောဝ်,ပၟးတဝ်လ္ၚောဝ် (n) yoke. [Cf.] စုံ(မ်)၊ ဆော။ [Var.] ဒ္ၚောဝ်၊ လ္ၚဝ်။
Yolk of egg.  ကြုတ်ခၟာဲစာၚ်။  ဖျုန်ခၟာဲ။,ဖ္ဍန်ခၟာဲစာၚ်,(n) yolk of egg. [Syn.] ကြုတ်ခၟာဲစာၚ်။ [opp.] ဖျုန်ခၟာဲ။
Yolk of egg.  ကြုတ်ခၟာဲ။  ဖျုန်ခၟာဲ။,ခ္ဍန်ခၟာဲ,(n) yolk of egg. [opp.] ကြုတ်ခၟာဲ(ယ်)။ [Cf.] ဖျုန်ခၟာဲ(ယ်)။
Yolk of egg.  ကြုတ်ခၟာဲ။  ဖျုန်ခၟာဲ။,ဗဍန်ခၟာဲ,(n) yolk of egg. [Syn] ကြုတ်ခၟာဲ(ယ်)။ [opp] ဖျုန်ခၟာဲ။
Yolk of egg.  ခ္ဍန်ခၟာဲ။  ဖျုန်ခၟာဲ။ သၠာဲခၟာဲ။,ကြတ်ခၟာဲ,(n) yolk of egg. [Syn.] ခ္ဍန်ခၟာဲ(ယ်)။ [opp.] ဖျုန်ခၟာဲ(ယ်)။ [id]သၠာဲခၟာဲ(ယ်)။
Yonder,တေတေံ,တေတေအ် (adv) yonder.
Yonder,တေတေအ်,(adv) yonder.
Yonder,ဣတေံ,"(pron.) that, that one, he, she or it. (adv) these, yonder, referring to objects in sight."
Yonder.  yonder,တေံ,"3 တေအ် (adj.) that, yonder. (adv) yonder, there."
You,တဳလဂုန်,"(pron.) thou, you, literally, lord of virtue. [id] တၠဳဂုန်။"
You,ဗှေ်,(pron) {used principally to inferiors} you.
You,မၞး,"(pers. Pron) you, thou and its cases, your."
You,ယ,3 (pers. Pron) you.
You,အယခေၚ်,"(pron) you, with prefix and suffix."
You .  ဗှ်ေ။,ဣတာ,(n) (pron.) you {only for men of the same age and less}. [id] ဗှ်ေ။
You and i,အဲကဵုဗှ်ေ,"(pers.) (pron.) you and I, we. [Der.] ပိုဲ (pres.) (pron.) we."
You are as stupid as a monkey.  တီု၊ ဓီု၊ ၜီု။  ဍိုဟ်။  ခလိုတ်  to be foolish.  ဒိုဟ်။,သ္ဒိုဟ်,ဗှ်ေသ္ဒိုဟ်စိုတ်သ္ကေဝ်ကၞုဲ(ယ်) (v) you are as stupid as a monkey. [Cf.] တီု(မ်)၊ ဓီု(မ်)၊ ၜီု(မ်)။ [Opp.] ဍိုဟ်။ [Der.] ခလိုတ် (v) to be foolish. [id.] ဒိုဟ်။
You are energetic,ဗချဳ,"ဗှေ်ပချဳဇကုဗှေ်ဂၠိုၚ်ဗှေ်ဍောၚ်ဏောၚ် (v) you are energetic, you will tier yourself."
You are five years older than me,သၞာံ,ဇကုဇၞော်နူအဲမသုန်သၞာံ(မ်) (n) you are five years older than me.
You are hiding the fire from me,ဖဒန်,ဗှေ်ဖ္ဒန်ဒၟံၚ်ပၟတ် (v) you are hiding the fire from me.
You are hiding the fire from me,ဗဒန်,ဗှေ်ဗ္ဒန်ဒၟံၚ်ပၟတ် (v) you are hiding the fire from me.
You are not to worry about me,ဂွိၚ်,လ္ပဂွိၚ်ကဵုအဲရ (v) you are not to worry about me.
You are not to worry about me,ဒွိၚ်,လ္ပဒွိၚ်ကဵုအဲရ (v) you are not to worry about me.
You are taller than me,ဏီ,မၞးသၠုၚ်နူအဲဏီ (pv.) you are taller than me.
You are taller than me,နီ,ဗှ်ေသၠုၚ်နူအဲဏီ (pv) you are taller than me.
You arrive,တှ်ေ,"3 တေဟ် (affix.) denoting condition, (if).    မၞးအာတှ်ေစိုပ် (affix.) if you go, you arrive."
You arrived just at the right time,ဒးဖစပ်,ဗှ်ေစိုပ်ကၠုၚ်ဒးဖစပ် (v) you arrived just at the right time.
You arrived just at the right time,သ္ဒးဖ္စပ်ရပ်ဖျဴဏာစၞစဏောၚ်,ဗှ်ေစိုပ်ကၠုၚ်သ္ဒးဖ္စပ် (v) you arrived just at the right time.
You can see he is not a good person,ရန်ကဵု,"ရန်ကဵုဒ္ဂေတ်ဍေံပရေံတုဲဍေံဂှ်မၞိဟ်ခိုဟ်မွဲဟွံသေၚ် (v) if you consider the defects of his conduct, you can see he is not a good person."
You can see it was cut with a knife,ရောၚ်,"ဇုက်လာဲအာဟွံသေၚ်ထပိုတ်လဝ်ကဵုမြရောၚ် (v) the rope did not break, you can see it was cut with a knife."
