English,Mon,Original_Definition
Dark green.  လမ္စံက်တ္ၜောဟ်၊ လမ္စံက်ၝေံ။,မလမ္စံက်ဍိုပ်ဍဴ,(adj) dark green. [id] လမ္စံက်တ္ၜောဟ်၊ လမ္စံက်ၝေံ(အ်)။
Dark half of the moon.  the first of the waning or dark half of the moon,မွဲစွေက်,(adj) dark half of the moon. (n) the first of the waning or dark half of the moon.
Dark jacket,ကြံၚ်,ပလောံသာ်ကြံၚ် (v) dark jacket.
Dark jacket,တြံၚ်,ပလောံသာ်တြံၚ် (n) dark jacket.
Dark like soot,မဂၠုရဴဂြိၚ်,(adj) dark like soot.
Dark like soot,မတ်ဂၠုရဴဂြိၚ်,(n) dark like soot.
Dark or black colour,သာ်ထဝ်သရီ,(n) dark or black colour.
Dark-place,သၞိၚ်ဒမၠု,"(n) shadow, darkened place, dark-place."
Darkened place,သၞိၚ်ဒမၠု,"(n) shadow, darkened place, dark-place."
Darkness,မောဟ,"(n) [P.] darkness, ignorance."
Darkness,အန္ဓ,"(n) [P.] darkness, gloom, ignoramus."
Darkness.    ဒလုမတ်  to juggle,ဒလု,"1 (n) darkness.    ဒလုမတ် (v) to juggle, to conjure. Blind person. [Cf] [id] ဒမၠု၊ ဗလု။    [Der] ဂၠု (v) to be dark, vocalic infix."
Darkness.  ဒလု၊ ဒမၠု။     ဂၠု  to be dark.    ဗလုမတ်  blind person,ဗလု,1 (n) darkness. [Var.] ဒလု၊ ဒမၠု။    [Der.] ဂၠု (v) to be dark.    ဗလုမတ် (n) blind person.
Darkness.  အန္ဓ၊ ဒဒှ်မဂၠုဓီု၊ ဒလု၊ ဗလု၊ မောဟ။    ညးဒမၠုမတ်  blind person.     ဂၠု  to be dark,ဒမၠု,"1 (n) darkness. [id] အန္ဓ၊ ဒဒှ်မဂၠုဓီု(မ်)၊ ဒလု၊ ဗလု၊ မောဟ။    ညးဒမၠုမတ် (n) blind person.    [Der] ဂၠု (v) to be dark, vocalic infix."
Darling,ဇြဟာန်,"(n) love, lover, darling, compassion, kindness. [id] ဇြဟာန်ကၟိန်။ [Cf.] second sense, ကဝေၚ်။ [Var.] ဆာန် (v) to love."
Dash,ကပိုက်,"(v) to strike, dash, dash against, to launder by beating on a stone, to be torn out, up rooted. [id] လပိုက်။"
Dash,ဗိုတ်,"3 (v) to throw, to throw underarm, lop, to drop {missile}, to swoop down {on} to throw as a atone, to dart as a bird, ride {horse} at a gallop, dash, hasten.    လၞၚ်ဗိုတ်စှေ် (v) a kite swooped down.    လၞၚ်ဗိုတ်ကောန်စာၚ် a kite swooped on the chickens. [Cf] first sense, ကၠဟ်၊ ဇီု၊ ထဝေၚ်၊ ထောဲ၊ ထေဝ်၊ထောံ၊ ဖျောဝ်၊ လှောဝ်၊ သၠောဝ်။    [Der.] လဗိုတ် (v) stone’s throw.    ဂဗိုတ် (v) to throw."
Dash against,ကပိုက်,"(v) to strike, dash, dash against, to launder by beating on a stone, to be torn out, up rooted. [id] လပိုက်။"
Dash against,ဇီု,"2 (v) to collide {with}, charge, ram, strike, dash against, to heave, throw with an effort, to bowl.    အဲဇီုဒးဒယိုၚ်သ္ၚိ (v) I bumped into a housepost.    ကွဳဇဵု (v) the cart collided.    ကွဳလိုန်ဇီုဒးအဲ (v) I got knocked down by a bicycle.    ဂၠဴဇီု (v) the bulls charged each other.    ဂၠုၚ်ဇီုဒးကဵုတၟံၜဳ (v) the canoe hit a rock. [Cf.] first sense, စုက်၊ တေက်၊ ဒိ၊ ဒး၊ လုက်။ second sense, ကလှ်၊ ထဝေၚ်၊ ထောဲ၊ ထောံ(အ်)၊ ဒဗိုတ်၊ ဗိုတ်၊ လှောဝ်။    ဇီုကဵုတၟံ(အ်) (v) to heave a rock at someone.    ဇီုကၠုၚ်တၟံတုဲ (v) crashing into boulders."
Dash along,ခဍိၚ်,"ထ္ဍိၚ်အာ (v) to advance jerkily, dash along."
Dash down,လပိုက်ဖျေံ,"(v) to throw down violently, dash down."
Dash down.  second sense,ကပိုက်ဖျေံ,"(v) to throw down violently, dash down. [Syn.] second sense, ကဆံၚ်၊ ဇီု(မ်)၊ လပိုက်။ [Der.] ပိုက် (v) to tear out, off."
Dash or strike against,တ္ၚီုဗ္တိုက်,"(v) dash or strike against, attack, fight against."
Dash or strike against,ဒုၚ်ဂဗတ်,"(v) resist. Defend, oppose, face, confront, dash or strike against, attack, fight against."
Dashing.  မခ္ဍိၚ်အာ။,မသာက္ဍာ,(adj) dashing. [id] မခ္ဍိၚ်အာ။
Dastardly,နဒဒှ်မအောန်ကဵုသတ္တိ,(adv) dastardly.
Data less,မဟၟဲကဵုတၚ်နၚ်,"(adj) fact less, data less, pointless."
Date,စမ်ပလမ်,(n) သတ်စမ်ပလမ် (n) date.
