English,Mon,Original_Definition
Warbler.  ပူဂဵုမဒယှ်ေနကဵုရမျှာၚ်ခၟိပ်ဇတဝ်။,ဂစေံဂြဴဇက်ရမျာ်ဇတဝ်,(n) warbler. [id] ပူဂဵုမဒယှ်ေနကဵုရမျှာၚ်ခၟိပ်ဇတဝ်။
Ward,အရာပ်,"(n) place, district, a division of district, town or village, ward, quarter {of town}, cluster of houses forming a division of a village."
Ward leader,ဇမၞော်အရာပ်,(n) ward leader.
Ward off,ဗလေတ်,"(v) to devert, turn aside, ward off, to do wrongly, get wrong, to dodge."
Warden of a hostel,သ္ကိုပ်ဂဒံ,သ္ကိုပ်ဂဒမ် (n) warden of a hostel.
Warden of a hostel,သ္ကိုပ်ဂဒမ်,(n) warden of a hostel.
Warden. .  ဇမၞော်ခဒံ။,မၞိဟ်ကောပ်ကာဲအုပ်ထိၚ်,(n) warden. {ဘာတက္ကသဵု(ဝ်) (n) university}. [id.] ဇမၞော်ခဒံ(မ်)။
Warder,အကြာပ်ထံၚ်,"(n) warder, jailer, person who works as a guard in a prison."
Warder ,ဝါဒါ,(n) [Eng.] warder {of jail}.
Warder of jail,အကောပ်,အကောပ်ထံၚ် (n) warder of jail.
Warder of jail,အကောပ်ထံၚ်,(n) warder of jail.
Warding off,ဒဒှ်မပဲါဗလေတ်ထောံ,(n) warding off.
Warding off,ပတိဃာတ်,"(n) [P.] concussion, warding off, repulsion."
Wardress,သၟတ်ဗြဴပၟၚ်ပၟဲထံၚ်ဂုက်,(n) wardress.
Ware house,ဇရာံမကြိၚ်စကပေါတ်,(n) ware house.
Ware house,ရုၚ်ဗၞိက်,"(n) ware house, goods shed."
Warfare.  အကာဲအရာမဒှ်ဒၟံၚ်ပၞာန်၊ ဒဒှ်မပြိုၚ်ဗ္တိုက်ပၞာန်။,ပြဝဗ္တိုက်ပြေၚ်ပၞာန်,(n) warfare. [id] အကာဲအရာမဒှ်ဒၟံၚ်ပၞာန်၊ ဒဒှ်မပြိုၚ်ဗ္တိုက်ပၞာန်။
Warily,နဒဒှ်မနွံကဵုသ္တိဝဳရိယ,(adv) warily.
Wariness.  ဒဒှ်မနွံကဵုကဆံၚ်သွက်ဂွံဒှ်အန္တရာဲတွဵု။,ဒဒှ်မနွံကဵုသတိဝဳရိယ,(n) wariness. [id] ဒဒှ်မနွံကဵုကဆံၚ်သွက်ဂွံဒှ်အန္တရာဲတွဵု။
Warlike,ဒဒှ်မဒှ်ဒၟံၚ်ဒတုဲသွက်ဂွံဗ္တိုက်,"(n) warlike, warpath. [id] မရန်တၟံလဝ်သွက်ဂွံဗ္တိုက်ပၞာန်၊ ဒဒှ်မပြိုက်ဗ္တိုက်ပၞာန်။"
Warm,လိုက်လဴ,"(v) to be distressed, to be spent wearied. (adj) hearty, whole-hearted, warm."
Warm,အု,(v) warm.
Warm a garment,ဖအၚ်,"ဖ္အာၚ်ယာတ် (v) to put clothes by a fire to dry, warm a garment."
Warm blooded.  မနွံကဵုစိုတ်မချဳဒရာၚ်လောဲ။,မဒှ်ဂကူသတ်မနွံကဵုဆီဂီုက္တဴ,(adj) warm blooded. [id] မနွံကဵုစိုတ်မချဳဒရာၚ်လောဲ။
Warm hearted.  မလေပ်ချပ်ပ္တဝ်ကဵုစိုတ်ဇကု။,မလေပ်ဆာန်ဍူ,(adj) warm hearted. [id] မလေပ်ချပ်ပ္တဝ်ကဵုစိုတ်ဇကု။
Warm oneself in the sun,ၜံၚ်တ္ၚဲ,"(v) to sun yourself, warm oneself in the sun."
Warm water,ဍာ်ဂမ္တဴ,"(n) warm water, hot water, tea without milk or sugar."
Warm-blooded animals,သတ်ဆီမနွံဂီုဂီု,(n) warm-blooded animals.
Warm-up exercise,ပ္ကတ်ပ္ကေၚ်ဆီသ္ဂောံဂမ္တဴ,(v) warm-up exercise.
Warm.  အုသြုၚ်။,အုဇြုၚ်,"(v) sultry, warm. [id] အုသြုၚ်။"
Warmly,ဂီု,"2 ဂိုမ် (v) to be warm, to be comfortable, happy. [Cf.] first sense, က္တဴ၊ ဒၚ်။ second sense, ၜိုဟ်    [Der.] ဂီုဂီု (adv) agreeably, warmly, tepidly.    သဂီု (n) warmth."
Warmly,လိုက်လိုက်လဴလဴ,"(adv) heartily, whole-heartedly, warmly."
Warmness,အကာဲအရာမဂမ္တဴဂီု,"(n) warmth, warmness, state of being warm. [id.] ပြဝစိုတ်မချဳဒရာၚ်၊ ပြဝမနွံကဵုသီုစိုတ်သီုကဵုမာန်။"
Warmth,အကာဲအရာမဂမ္တဴဂီု,"(n) warmth, warmness, state of being warm. [id.] ပြဝစိုတ်မချဳဒရာၚ်၊ ပြဝမနွံကဵုသီုစိုတ်သီုကဵုမာန်။"
Warmth.    အဲဂွံသ္ဂီုယာတ်  i have got the warmth of the blanket.  ဂီု။,သ္ဂီု,1 (n) warmth.    အဲဂွံသ္ဂီုယာတ် (n) I have got the warmth of the blanket. [Var.] ဂီု(မ်)။
Warmth.    အဲဂွံသ္ဂီုယာတ်  i have got the warmth of the blanket.  ဂီု။,သ္ဂိုမ်,1 (n) warmth.    အဲဂွံသ္ဂီုယာတ် (n) I have got the warmth of the blanket. [Var.] ဂီု(မ်)။
Warning.  ဂလာန်မကဵုသ္တိ။ အရာမသ္ကဵုက္တဵုဗဒှ်ကဵုသ္တိ။,အရာမကဵုသ္တိ,(n) warning. [id] ဂလာန်မကဵုသ္တိ။ အရာမသ္ကဵုက္တဵုဗဒှ်ကဵုသ္တိ။
Warp,ဂြောပ်ဓလီု,"(v) warp, take all things together, encompass."
Warp,ယာတ်စရိုဟ်,"(n) warp, shawl, towel."
Warp it up in paper.  စက္ခော။,စက္ခူ,ဂွဳလဝ်ကဵုစက္ခူ (n) warp it up in paper. [Var.] စက္ခော။
Warp of cloth,ကြုတ်တုတ်,(n) warp of cloth.
Warp of cloth.    ဒလုၚ်တတ်  to mount the warp.  တုတ်၊ တောဝ်ဏဝ်။,တတ်,1 (n) warp of cloth.    ဒလုၚ်တတ် (v) to mount the warp. [Cf.] တုတ်၊ တောဝ်ဏဝ်။
Warpath.  မရန်တၟံလဝ်သွက်ဂွံဗ္တိုက်ပၞာန်၊ ဒဒှ်မပြိုက်ဗ္တိုက်ပၞာန်။,ဒဒှ်မဒှ်ဒၟံၚ်ဒတုဲသွက်ဂွံဗ္တိုက်,"(n) warlike, warpath. [id] မရန်တၟံလဝ်သွက်ဂွံဗ္တိုက်ပၞာန်၊ ဒဒှ်မပြိုက်ဗ္တိုက်ပၞာန်။"
Warrant,လိက်ဝါရာန်,(n) [Eng.] warrant.
Warrant,ဝါရာန်,(n) [Eng.] warrant.
Warrant officer,ဗဵုအကြာပ်,(n) warrant officer.
Warrantee,မၞိဟ်သ္ဒးဒုၚ်ကဵုတာလျိုၚ်အခေါၚ်သွက်ဂွံကၠောန်ပိုၚ်,(n) warrantee.
Warring,မဒှ်ဒၟံၚ်ကဆံၚ်ဟွံသာဓါညးသ္ကံ,(adj) warring.
Warrior,ဂၟၚ်,ညးဂၟံၚ် (n) warrior.
Warrior,ညးဂၟံၚ်,(n) warrior.
Warrior,သရာဲ,"2 (n) soldier, warrior, wild beast."
Warship,က္ၜၚ်ပၞာန်,(n) warship.
Wart.  က္တောတ်။,ကတောတ်,(n) wart. [id] က္တောတ်။
Warted lime,မက်ြကုတ်,"(n) small variety of lemon, warted lime, a variety of Citrus medica L. Or Citrus hystrix De Condolla. [Var.] မက်ကြတ်၊ မၚ်ကြတ်။"
Wary တေံညိ။,wariness,ရံၚ် wary တေံညိ။
Was a wise man,ပတၠ,"ကျာ်ဇၞော်ကံဍောတ်ပတၠပညာ (v) the abbot of Koh dtoot possessed wisdom, was a wise man."
Was permitted to become the buddha,ဂွံဒှ်ဒဒှ်ကျာ်,(v) was permitted to become the Buddha.
Was walking round the town,ဂေတ်ကြေဝ်ဝေၚ်ဍုၚ်,(v) was walking round the town.
