English,Mon,Original_Definition
Ministry . ရၚ်ဌာနကမၠောန်ဝန်ဇၞော်။,ဌာနဝန်ဇၞော်,(n) ministry {of government}. [id]ရၚ်ဌာနကမၠောန်ဝန်ဇၞော်။
Minor,မၞိဟ်ဟွံတီဒိုဟ်ကၠၚ်,"(n) minor, child."
Minor component of complex system,ကောန်ဂကူ,"(n) person of good family, number of social group; minor component of complex system."
Mint,သၚ်,"3 (v) to cast in metal, coin, mint."
Mint,သောန်,"2 (v) to cast in metal, coin, mint, cast in a mould."
Minty.  peppermint,ရိၚ်က္တဴ,"(v) hot. (adj) peppery, minty. (n) peppermint."
Minute,မနေတ်,(n) minute.
Minute hand,ကောန်ဍေၚ်ဇမၠိၚ်,(n) minute hand.
Minute living things in the water,စၟစၟောန်ဍာ်,"(n) collective term for marine reptiles, marine microorganisms, minute living things in the water."
Minute.  ဍောတ်၊ ၜတ်။     သၟတ်  young creature.    သၟတ်  to be small,သွတ်,"3 (v) to be small, immature. (adj) tiny, small, mote like, minute. [Cf.] ဍောတ်၊ ၜတ်။    [Der.] သၟတ် (n) young creature.    သၟတ် (v) to be small."
Minutes,ပါတ်,"2 (n) pat, measure of time equal to 16, bijanas or 6, minutes."
Miracle,ပါတိဟ,"(n) [P. patiharigum] miracle, portent."
Miracle,အသဝ်,"(n) [P. acchariyo] [Skt. ascarya] wonder, miracle, remarkable thing, amazement, admiration, marvel, astonishment."
Miracle worker,ဝိဇ္ဇာဓဵု,"(n) [P. vijja & dharo] miracle worker, wizard."
Miraculous birth.  without parentage.  ဒဒှ်မက္တဵုဒှ်ကၠုၚ်ကောန်ဟွံမွဲကဵုမိမ။,ဩပပါတိကဇ,(n) [P.] miraculous birth. [ie.] without parentage. [id] ဒဒှ်မက္တဵုဒှ်ကၠုၚ်ကောန်ဟွံမွဲကဵုမိမ။
Miraculous birth.  မဒှ်သြပပါတိကဇ။,မက္တဵုဒှ်ကၠုၚ်ကောန်မဟၟဲကဵုမိမ,(adj) miraculous birth. [id] မဒှ်သြပပါတိကဇ။
Mire,ဂၟက်,"(n) {colloq} mire, puddle. [Var.] လၟက်။"
Mire,လ္ဗေၚ်,"(n) mire, think mud."
Mire,လၟေက်,"(v) puddle, mud, mire, bog."
Mire,သရီု,"(n) mud, mire."
Mire,သရိုမ်,"(n) mud, mire."
Mirror,ဒၚောဝ်,"(n) glass, mirror, image in mirror, reflection, spectacles, view, glass of any kind. [id] ဒ္ၚောဝ်။"
Mirror writing,လိက်ဒ္ၚောဝ်,(n) mirror writing.
