English,Mon,Original_Definition
Adj.  ဓလဵု၊  ဓလဵုထဏံၚ်၊  မထဏံၚ်၊  မထၞံၚ်၊  မနွံကဆံၚ်က္ဍိုပ်ကြံၚ်၊  မနွံကဆံၚ်ဟီုဂးစဝါတ်၊  မ္ၚိုဟ်စ္ဍိုဟ်၊  မ္ၚိုဟ်ထဍိုဟ်။  ၂။  မဝါတ်သွက်ဂွံလောန်တတ်ကၠောံအာ။  obstinately   နဒဒှ်မနွံကဵုက္ဍိုပ်မကြံၚ်မ္ၚိုဟ်။  obstinacy   ဒဒှ်က္ဍိုပ်မကြံၚ်မ္ၚိုဟ်၊  စရံၚ်။,obstinate,adj.  ဓလဵု၊  ဓလဵုထဏံၚ်၊  မထဏံၚ်၊  မထၞံၚ်၊  မနွံကဆံၚ်က္ဍိုပ်ကြံၚ်၊  မနွံကဆံၚ်ဟီုဂးစဝါတ်၊  မ္ၚိုဟ်စ္ဍိုဟ်၊  မ္ၚိုဟ်ထဍိုဟ်။  ၂။  မဝါတ်သွက်ဂွံလောန်တတ်ကၠောံအာ။  obstinately (adv)  နဒဒှ်မနွံကဵုက္ဍိုပ်မကြံၚ်မ္ၚိုဟ်။  obstinacy (n)  ဒဒှ်က္ဍိုပ်မကြံၚ်မ္ၚိုဟ်(ဟီုဂးစဝါတ်)၊  စရံၚ်။
Adj.  ဓဝ်ယာ၊  မဒှ်ဗီုတြေံ၊  မဒှ်ဗီုဓမ္မတာ၊  မညဳသၟဟ်နကဵုသၞောဝ်ဥပဒေ။  normally   နဒဒှ်ဗီုတြေံ။,normal,adj.  ဓဝ်ယာ၊  မဒှ်ဗီုတြေံ၊  မဒှ်ဗီုဓမ္မတာ၊  မညဳသၟဟ်နကဵုသၞောဝ်ဥပဒေ။  normally (adv)  နဒဒှ်ဗီုတြေံ။
Adj.  နကဵုအသိၚ်မဂၠိုၚ်ကဵုအန္တရာဲ။,breakneck,adj.  နကဵုအသိၚ်မဂၠိုၚ်ကဵုအန္တရာဲ။
Adj.  နပုလ္လိၚ်၊  လိၚ်ၝောံတၟက်ဟွံမွဲ။,neuter,adj.  နပုလ္လိၚ်၊  လိၚ်ၝောံတၟက်ဟွံမွဲ။
Adj.  နာနာ၊  နာနာပက္ကာရ၊  မနွံဂကူဗွဲမဂၠိုၚ်၊  မနွံအရာဗွဲမဂၠိုၚ်။  sundries   မသၠေက်မသၠံၚ်၊  အရာသံၚ်ဗြံၚ်၊  အရာမနှဴရဴဒၟံၚ်။,sundry,adj.  နာနာ၊  နာနာပက္ကာရ၊  မနွံဂကူဗွဲမဂၠိုၚ်၊  မနွံအရာဗွဲမဂၠိုၚ်။  sundries (n)  မသၠေက်မသၠံၚ်၊  အရာသံၚ်ဗြံၚ်၊  အရာမနှဴရဴဒၟံၚ်။
Adj.  နွံကဵုကဆံၚ်သရံၚ်ဓဂါတ်၊  မဗက်အာအခိုက်ကောန်ဍုၚ်သအာၚ်။,outlandish,adj.  နွံကဵုကဆံၚ်သရံၚ်ဓဂါတ်၊  မဗက်အာအခိုက်ကောန်ဍုၚ်သအာၚ်။
Adj.  ပညာသတိ၊  မသ္ပသတိ၊  မလေပ်ယဵုဒုၚ်နကဵုသတိ၊  မလေပ်စၚ်ခြၚ်ဂြၚ်တီ။  prudently   နဒဒှ်မလေပ်စၚ်ခြၚ်ဂြၚ်တီ။  prudence   ဒဒှ်မဂြၚ်တီ၊  ဂတိပညာ၊  သတိပညာ။,prudent,adj.  ပညာသတိ၊  မသ္ပသတိ၊  မလေပ်ယဵုဒုၚ်နကဵုသတိ၊  မလေပ်စၚ်ခြၚ်ဂြၚ်တီ။  prudently (adv)  နဒဒှ်မလေပ်စၚ်ခြၚ်ဂြၚ်တီ။  prudence (n)  ဒဒှ်မဂြၚ်တီ၊  ဂတိပညာ၊  သတိပညာ။
Adj.  ပယတ်၊  ပျတ်၊  ဖောၚ်၊  ဖောၚ်ဖောၚ်၊  မက္တဵုဒှ်တိုန်ဟွံလံဟွံလံ၊  မဒှ်ဒၟံၚ်မွဲနှမွဲနှ၊  မဒှ်ဒၟံၚ်ထပ်တုဲထပ်ပၠန်။  frequently   ဟွံလံဟွံလံ၊  ပယတ်ပယတ်၊  ဖောၚ်ဖောၚ်၊  မွဲနှမွဲနှ။  frequency   ဒဒှ်မဒှ်တုဲဒှ်ပၠန်မဂၠိုၚ်ကဵုအလန်။,frequent,adj.  ပယတ်၊  ပျတ်၊  ဖောၚ်၊  ဖောၚ်ဖောၚ်၊  မက္တဵုဒှ်တိုန်ဟွံလံဟွံလံ၊  မဒှ်ဒၟံၚ်မွဲနှမွဲနှ၊  မဒှ်ဒၟံၚ်ထပ်တုဲထပ်ပၠန်။  frequently (adv)  ဟွံလံဟွံလံ၊  ပယတ်ပယတ်၊  ဖောၚ်ဖောၚ်၊  မွဲနှမွဲနှ။  frequency (n)  ဒဒှ်မဒှ်တုဲဒှ်ပၠန်မဂၠိုၚ်ကဵုအလန်။
Adj.  ပရေက်၊  ဗရေက်၊  မြက်၊  မြက်စာ၊  သာက္ဍာ၊  သာဍာ၊  မကၠောန်ဒၟံၚ်၊  မယဵုဒုၚ်ဒၟံၚ်၊  မကလိုက်ကၟဵုတိုန်ဒၟံၚ်၊  မတ္ၚံလ္ပံလ္တူကမၠောန်၊  မပြဟ်၊  မပြဟ်ပြေဟ်။  ၂။  မဒှ်နမတ်၊  မစိုပ်တရဴ။  ၃။  ကြိယာမစၞောန်ထ္ၜးကဵုကမၠောန်ကတ္တာ။  active state of mind    သတိ။  activity     ပွမချဳဒရာၚ်ကလိုက်ကၟဵုတိုန်။,active,adj.  ပရေက်၊  ဗရေက်၊  မြက်၊  မြက်စာ၊  သာက္ဍာ၊  သာဍာ၊  မကၠောန်ဒၟံၚ်၊  မယဵုဒုၚ်ဒၟံၚ်၊  မကလိုက်ကၟဵုတိုန်ဒၟံၚ်၊  မတ္ၚံလ္ပံလ္တူကမၠောန်၊  မပြဟ်၊  မပြဟ်ပြေဟ်။  ၂။  မဒှ်နမတ်၊  မစိုပ်တရဴ။  ၃။  ကြိယာမစၞောန်ထ္ၜးကဵုကမၠောန်ကတ္တာ။  active state of mind  (adj)  သတိ။  activity  (n.  pl.-ties)   ပွမချဳဒရာၚ်ကလိုက်ကၟဵုတိုန်။
Adj.  ပရောံ၊  သောန်၊  မပရောံဆာတ်၊  မလေပ်ထကးလောဲ၊  မလေပ်ကဝ်ကေက်တၟေက်ထကးလောဲ။,brittle,adj.  ပရောံ၊  သောန်၊  မပရောံဆာတ်၊  မလေပ်ထကးလောဲ၊  မလေပ်ကဝ်ကေက်တၟေက်ထကးလောဲ။
Adj.  ပူဂဵုမဂရၚ်ပ္တီကေတ်အယျာဒၞာဲဝဲါ၊  ပူဂဵုလုပ်ဒုၚ်ရုဲ။  ၂။  မၞိဟ်လုပ်သွဟ်သဘၚ်သၟာန်လိက်။  candidature   ပွမလုပ်ဒုၚ်ပြိုၚ်ရုဲ၊  ပွမလုပ်သွဟ်ပေဲါသၟာန်လိက်။  candidate   မၞိဟ်မလုပ်ဒုၚ်ရုဲစှ်မာဲ၊  မၞိဟ်ဂရၚ်ပ္တီအာတ်မိက်ဒၞာဲဝါ။  ၂။  မၞိဟ်လုပ်သွဟ်ပေဲါသၟာန်လိက်။,candid,adj.  ပူဂဵုမဂရၚ်ပ္တီကေတ်အယျာဒၞာဲဝဲါ၊  ပူဂဵုလုပ်ဒုၚ်ရုဲ။  ၂။  မၞိဟ်လုပ်သွဟ်သဘၚ်သၟာန်လိက်။  candidature (n)  ပွမလုပ်ဒုၚ်ပြိုၚ်ရုဲ၊  ပွမလုပ်သွဟ်ပေဲါသၟာန်လိက်။  candidate (n)  မၞိဟ်မလုပ်ဒုၚ်ရုဲစှ်မာဲ၊  မၞိဟ်ဂရၚ်ပ္တီအာတ်မိက်ဒၞာဲဝါ။  ၂။  မၞိဟ်လုပ်သွဟ်ပေဲါသၟာန်လိက်။
Adj.  ပေၚ်ဗၠိုပ်ဒၟံၚ်၊  ပေၚ်ထာတ်ဒၟံၚ်၊  ပေၚ်သအဳဒၟံၚ်။,chock-full,adj.  ပေၚ်ဗၠိုပ်ဒၟံၚ်၊  ပေၚ်ထာတ်ဒၟံၚ်၊  ပေၚ်သအဳဒၟံၚ်။
