English,Mon,Original_Definition
Railway station.  သၞေဟ်ကွဳပၟတ်။  ယျထာ ,ကွဳပၟတ်,ရုၚ်ကွဳပၟတ် (n) railway station. [id] သၞေဟ်ကွဳပၟတ်။ [Syn.] ယျထာ [Bur.].
Railway train,ဂၠံၚ်ကွဳပၟတ်,"(n) railway, railway line, track, railway train, railroad {US}."
Rain,ဗြဲ,(n) rain.
Rain,ဝဿ,"(n) [P.] rain, the rains, a year."
Rain cats and dogs,ဗြဲဇၞော်,(n) rain cats and dogs.
Rain fall,ဗ္ၜတ်,ဗ္ၜတ်ဍာ်ဗြဲ (n) rain fall.
Rain incessantly,ဗြဲဟွံပိုတ်,(n) rain incessantly.
Rain set in,ဗြဲတံသၞာံ,(n) rain set in.
Rain shower,ကဴဗြဲ,"(n) rain shower {rain’s flower}, droplets of rain on leaves, flowers etc. after raining, droplets of rain, drizzle."
Rain storm,ကျာဗြဲ,(n) rain storm.
Rain storm,ဗြဲဇၞော်ကျာ်ထတ်,(n) rain storm.
Rain tree,ဓိတာန်,"1 (n) sal tree, kind of tree, Albizzia lebbek,  rain tree, Samanea, shorea robusta Roxburgh. [id] တၞံဓိတာန်။"
Rain water,ဍာ်ဗြဲ,(n) rain water.
Rain-gauge,ကရိယာမတ္ၜတ်ကၞာတ်ဍာ်ဗြဲ,(n) rain-gauge.
Rain-storm,ကျာဗြဲမေလံၚ်,"(n) rain-storm, tempest, tornado, whirl wind, cyclone."
Rainbow.  တ္ၚအိန်၊ ဒၟၚ်။    ဒၟၚ်သုၚ်ဍာ်  there is a rainbow,ဒမၚ်,2 (n) rainbow. [id] တ္ၚအိန်၊ ဒၟၚ်။    ဒၟၚ်သုၚ်ဍာ် (n) there is a rainbow.
Rainbow.  ဒၟၚ်ဍာ်,ဒၟၚ်,(n) rainbow. [id] ဒၟၚ်ဍာ်(က်)
Rainbow.  ဓၟၚ်။    ဓၟၚ်သုၚ်ဍာ်  rainbow.  ဓၟၚ်ဍာ်။  တ္ၚအိန်။,ခမၚ်,5 (n) rainbow. [id] ဓၟၚ်။    ဓၟၚ်သုၚ်ဍာ် (n) rainbow. [id] ဓၟၚ်ဍာ်(က်)။ [Var.] တ္ၚအိန်။
Raincoat,ပလောံဒုၚ်ဗြဲ,"(n) raincoat, mackintosh."
Raindrop,မဗြဲ,(n) raindrop.
Raining season,ဗြဲ,ဥတုဗြဲ (n) raining season.
Rainproof,မဒှ်ဍာ်ဗြဲလုပ်ဟွံမာန်,(adj) rainproof.
Rainy season,မုက်ဗြဲ,"(n) face of the rain, rainy season."
Rainy season,ဝသန်,(n) rainy season.
Rainy season,ဝဿာန,(n) rainy season.
