English,Mon,Original_Definition
Pair .  လ္ၚောဝ်။,တ္ၚောဝ်,"(n) yoke, pair {of bullocks}. [id] လ္ၚောဝ်။"
Pair of scales,သၠဒ္ကေဝ်,"(n) scales, balance, pair of scales."
Pair of wooden pins used to harness draught animal to the yoke,တဝ်ကၟး,"(n) pin passing through yoke of cart and keeping bullock in place, pair of wooden pins used to harness draught animal to the yoke, yoke-pin. [id] တဝ်ပၟး။ [Cf.] ပၟး။ [Syn.] ကတောဝ်ပၟး။"
Pair.    ဂၞပ်မွဲဆော  a pair of shoes.  သၞေက်ၜါဆော  two pairs of ear studs.  စုံ။,ဆော,1 (n) pair.    ဂၞပ်မွဲဆော (n) a pair of shoes. [id] သၞေက်ၜါဆော (n) two pairs of ear studs. [Cf.] စုံ(မ်)။
Pair.    တၟောံသြိုဟ်မွဲစုံ  a set of buttons.    စုံမာတ်  odds and evens,စုံ,"1 စုမ် (n) set, pair.    တၟောံသြိုဟ်မွဲစုံ(မ်) (n) a set of buttons.    စုံမာတ် (n) odds and evens, a children’s game played with beans. [id] စုံမ။    ဝေၚ်စုံမ (v) to play odds and evens. [Cf.] အၚဝ်၊ ဆော၊ လ္ၚဝ်၊ လ္ၚောဝ်။"
Palace,နန်,"2 (n) palace, royal palace, abode of a king or prince.    တိုန်နန် (v) to become king or queen."
Palace,ပါသဒ,"(n) [P.] tower, palace, mansion."
Palace,သ္ၚိကၠတ်,"(n) building with raised central portion surrounded by lower structures, parliament building, palace."
Palace,သ္ၚိကၠတ်နန်,(n) palace.
Palace,သ္ၚိတၞုၚ်ကြကတ်,"(n) palace, women's apartments, seraglio."
Palace woman.  မှောၚ်မှ၊ နၚ်စၚ်၊ ဗော်ကမၠောန်၊ ဗော်ဗြဴဝေၚ်၊ မောၚ်မ။,မှောၚ်မ,(n) palace woman. [id.] မှောၚ်မှ၊ နၚ်စၚ်၊ ဗော်ကမၠောန်၊ ဗော်ဗြဴဝေၚ်၊ မောၚ်မ။
Palace women,ဗော်ကမၠောန်,"(n) palace women, executive committee."
Palace women,မှောၚ်မှ,"(n) lesser wife of a king below the status of a queen, female attendants to the king and queen, palace women."
Palace.  နန်ဇမၠိၚ်၊ နန်တာန်ဆံၚ်။,နန်ဂၠောၚ်,(n) palace. [id] နန်ဇမၠိၚ်၊ နန်တာန်ဆံၚ်။
Palankeen.    သရေၚ်ဝဝ်  palanquin.  ဇံၚ်ဒလိၚ်၊ သရေၚ်။,ဝဝ်,"1 (n) palanquin, litter, palankeen.    သရေၚ်ဝဝ် (n) palanquin. [Cf.] ဇံၚ်ဒလိၚ်၊ သရေၚ်။"
Palankeen.  first sense,ခရေၚ်,"1 (n) cloth sling suspended from ceiling, used as cradle, hammock slung from pole, litter, howdah. [id] သရေၚ်။    သရေၚ်ဝဝ် (n) palanquin, palankeen. [Cf.] first sense, ကောန်ဇာ၊ ဇုန်ဇာ။ second sense, ဇံၚ်ဒလိၚ်၊ ဝဝ်။    သရေၚ်စိၚ် (n) howdah, elephant howdah."
Palanquin,ဝဝ်,"1 (n) palanquin, litter, palankeen.    သရေၚ်ဝဝ် (n) palanquin. [Cf.] ဇံၚ်ဒလိၚ်၊ သရေၚ်။"
Palanquin,သရေၚ်ဝဝ်,(n) palanquin.
Palanquin,သမြေၚ်ဝဝ်,(n) palanquin.
Palanquin,သြေၚ်ဝဝ်,(n) palanquin.
Palatable.  မဒးကဵုကံ။,မနွံကဵုရှ်သာပ္ဍဲကံ,(adj) palatable. [id] မဒးကဵုကံ(အ်)။
Palate,ကတာ်,ဂၠံလ္တာ်(က်) (n) palate.
Palate,ခ္ဍောၚ်ကံ,"(n) palate, throat, part of the neck above the Adam’s apple."
Palate,ဂၠံလတာ်,(n) palate.
Palate.  က္တာ်။,လ္တာ်,ဂၠံလ္တာ်(က်) (n) palate. [Cf.] က္တာ်(က်)။
Palatial.  မဆေၚ်စပ်ကဵုနန်။,မဒှ်အပ္ဍဲနန်,(adj) palatial. [id] မဆေၚ်စပ်ကဵုနန်။
Pale,ဖျိုဟ်,"1 (v) to be faded, pale, light {colour}, discoloured, sickly, to lose colour, deficient colour, to be emaciated."
Pale,ဖျိုဟ်,"2 (adj) grey, pale, faded, light {colour}.    (v) relax."
Pale or wan faced fellow,အဖျိုဟ်,(n) pale or wan faced fellow.
Pale red,သာ်ပ္ဍီု,(n) pale red.
Pale red.  ချီု၊ သာ်ကဴခ္ဍောၚ်၊ သာ်တကး။,ပ္ဍီု,"(v) to be blue, violet, pale red. [Cf.] ချီု(မ်)၊ သာ်ကဴခ္ဍောၚ်၊ သာ်တကး။"
Pale red.  ချီု၊ သာ်ကဴခ္ဍောၚ်၊ သာ်တကး။,ပ္ဍိုမ်,"(v) to be blue, violet, pale red. [Cf.] ချီု(မ်)၊ သာ်ကဴခ္ဍောၚ်၊ သာ်တကး။"
Pali,ပါလိ,"(n) [P.] Pali, the Prakrit language of the Buddhist Scriptures. [id] ပါဠိ။"
Pali,ပါဠိ,"(n) [P.] Pali, sacred language of Buddhism. [id] ပလိ၊ ပါလိ။"
Pali,ဠိ,"(n) ပါဠိ (n) Pali, Prakrit language of the Buddhist Scriptures."
Pali,အရေဝ်ပါဠိ,"(n) Pali, argot, cnat."
Pali name for anusvara,နိဂ္ဂဟိတ်,(n) [P. niggahitam] Pali name for anusvara.
Pali verse,အထာ,"(n) [colloq] Pali verse, incantation, stanza. [id.] ဂါထာ။"
Pali.   ပါလိ၊ ပါဠိ။,ပလိ,1 (n) Pali. [Var.] [L.F] ပါလိ၊ ပါဠိ။
Palisade or strong barricade outside the gate of a fortification,ရၚ်တာ,"(v) palisade outside a fortification, a palisade surrounds the fortification, palisade or strong barricade outside the gate of a fortification."
Palisade outside a fortification,ရၚ်တာ,"(v) palisade outside a fortification, a palisade surrounds the fortification, palisade or strong barricade outside the gate of a fortification."
Palliation.  ဒဒှ်မသ္ကဵုသက်သာတိုန်။,ဒဒှ်မရးထောံဒုဟ်,(n) palliation. [id] ဒဒှ်မသ္ကဵုသက်သာတိုန်။
Palliative.  ဂဥုဲမသ္ကဵုသက်သာတိုန်။,ဂဥုဲမသ္ကဵုယဲသက်သာတိုန်,(n) palliative. [id] ဂဥုဲမသ္ကဵုသက်သာတိုန်။
Palm,ဂတာတဲ,"(n) palm of hand, palm, flap attached to a pole for swat out fire."
Palm,တၞံဂကူတာ သတ်ဗြဴ,(n) palm.
Palm leaf,ရိုတ်,သၠရိုက် (n) palm leaf.
Palm of hand,ဂတာတဲ,"(n) palm of hand, palm, flap attached to a pole for swat out fire."
Palm off.  ဗ္ဂေတ်လီကေတ်။,လီကေတ်နကဵုစၞာဲ,(v) palm off. [id.] ဗ္ဂေတ်လီကေတ်။
Palm sugar,သ္ကဝ်သတာ,"(n) palm sugar, coarse sugar prepared from palmyra sap, jaggery. [Cf.] ကဝ်တာ။"
Palm toddy,ဍာ်တာ,(n) palm toddy.
Palm-leaf,သၠရိုတ်တာ,"(n) palm-leaf, plamyra leaf prepared for writing. [Cf.] သၠပတ်။"
Palm-leaf book,သၠပတ်,"(n) palm-leaf prepared for writing, palm-leaf book, palm-leaf manuscript, learned or religious, a religious book or writing, any book or writing treating of art or science, prose as distinguished from verse. [Cf.] ပြကိုဟ်၊ လိက်၊ သၠရိုတ်။"
