English,Mon,Original_Definition
I am looking for nai dtoot’s house,ဂၠာဲ,အဲဂၠာဲသ္ၚိနာဲဍောတ် (v) I am looking for Nai Dtoot’s house.
I am making over this plot of land to the monks.  အပ်။,ဖျိုန်,တၞဏံအဲဖျိုန်ကဵုသၚ် (n) I am making over this plot of land to the monks. [Cf.] အပ်။
I am measuring up this house so as to have its measurements,မာတ်,"2 (pcs) although, in spite of the fact that {followed by the va. ဂွံ(အ်)} in order to.    ဍေံဗှ် မာတ်ဒှ်သာ်ဂှ်ဍေံဟွံကၠိုဟ် (pcs) he can read, but he does not understand what he is reading. [Cf.] first sense, ၜိုန်။ second sense, ဇွောံ(အ်)၊ ဘိုံ(အ်)၊ မှ၊ သွက်။    မာတ်ဂွံဂွံ သၞောတ်ဗ္ၜတ်သ္ၚိဏံတုဲအဲၜတ်မံၚ်သ္ၚိဏံဏောၚ် (pcs) I am measuring up this house so as to have its measurements."
I am not afraid of ghosts,ဖေက်,အဲဟွံဖေက်ဘုတ် (v) I am not afraid of ghosts.
I am not making much profit,ကေတ်,အဲဟွံကေတ်ပရဲဂၠိုၚ် (v) I am not making much profit.
I am not perfect at it,ဒဵုခိုဟ်ခိုဟ်အဲဟွံမာန်ရ,(perp.) I am not perfect at it.
I am not staying here long,အတိုၚ်,"အတိုၚ်မၞးတီဂှ် အဲမံၚ်အဏံလံဟွံသေၚ် (prep) as you know, I am not staying here long."
I am on the verge of anger,အဲ,အဲကြပ်စိုပ်ဒၟံၚ်ကဆံၚ်ထေဲ (pers.) (pron.) I am on the verge of anger.
I am pleased with you,ခလောၚ်,အဲသၠောၚ်ကဵုဗှ်ေ (v) I am pleased with you.
I am pleased with you,သၠောၚ်,အဲသၠောၚ်ကဵုဗှ်ေ (v) I am pleased with you.
I am presenting a robe,ပူဇဴ,အဲပူဇဴသ္ၚာကထိုန် (v) I am presenting a robe.
I am really sorry that i sold my bullocks cheap while the price of cattle was rising,ကဟောံ,အဃောၚုဟ်ဂၠဴတိုန် အဲသွံဒးဂၠဴအဲတန်တန် အဲကဟောံကွေဟ် (v) I am really sorry that I sold my bullocks cheap while the price of cattle was rising.
