English,Mon,Original_Definition
Faith,သဒ္ဓါ,"(n) faith, generosity, a kind of feeling. (v) to have faith, be generous."
Faithful person,အရဳ,"(adj.) [P. ariyo] saintly, pious, faithful person."
Faithful.  အရဳ၊ မဍာံပြ၊ မသ္ဂောံပတှေ်စှေ်စိုတ်။,မနွံကဵုသစ္စ,(adj) faithful. [id] အရဳ၊ မဍာံပြ၊ မသ္ဂောံပတှေ်စှေ်စိုတ်။
Faithfully,ဗွဲမလ္ဂူတပ်တး,"(adv) faithfully, sincerely."
Faithless person,မၞိဟ်ပလီုသစ္စ,"(n) faithless person, turncoat, renegade, traitor."
Faithless.  မဖျေံစိုတ်ဟွံဂွံ၊ မဖျေံစိုတ်ဟွံထေက်၊ မဟွံဂံၚ်ပတှေ်စ။,မပတှေ်စဟွံဂွံ,(adj) faithless. [id] မဖျေံစိုတ်ဟွံဂွံ(အ်)၊ မဖျေံစိုတ်ဟွံထေက်၊ မဟွံဂံၚ်ပတှေ်စ။
Faithlessly,နဒဒှ်မနွံကဵုကဆံၚ်ပတှ်ေစဟွံဂွံ,(adv) faithlessly.
Faithlessness,ဒဒှ်မနွံကဆံၚ်ပတှ်ေစဟွံဂွံ,(n) faithlessness.
Fake,ဥုဍာ်ထဝ်,"(v) gold plated, fake, not genuine."
Fakir,ယောဂဳ,"(n) [P.] ascetic, fakir, Yogi, one who practises yoga, one who practises religious meditation."
Falk-song,ဒွက်မံက်ခေတ်လၟုဟ်,ဒွက်ရးကး (n) falk-song.
Fall,ထရိုဟ်,"(v) fall, drop, drop off, fall to pieces. [Var.] ခရိုဟ်၊ ဖရိုဟ်၊ လာ်၊ သရှော်၊ သရိုဟ်။"
Fall,လ္တိုပ်စှ်ေ,"(v) {of snow} fall, {of mist} set in."
Fall away,သၞုဲ,"1 (n) to drop, fall away."
Fall away,သၞုယ်,"1 (n) to drop, fall away."
Fall down,ခတုံ,"ခတုမ် (v) to fall, fall down, fall into, to knock down. [id] ဒတုံ(မ်)၊ ဂတုံ(မ်)။"
Fall down,ခတုံ,"ဒတုံစှ်ေ (v) to fall, fall down, fall into. [id] ဒတုံစှ်ေအပ္ဍဲ(ယ်)။"
Fall down,ဒတုမ်,"(v) to fall, fall down, to knock down."
Fall down,ဒတုံ,"ဒတုမ် (v) to fall, fall down, to knock down."
Fall down,ဒတုံစှ်ေ,"(v) to fall, fall down."
Fall down,ပ္တုံစှ်ေ,"(v) to fall, fall down."
