English,Mon,Original_Definition
Judge. [id ဒကိုပ်ဗ္စာ၊ ဒကိုပ်ဗ္စာသ္ဂုတ်သွာတ်အမှု။,ဒကိုပ်သ္စာ,(n) judge. [id ဒကိုပ်ဗ္စာ၊ ဒကိုပ်ဗ္စာသ္ဂုတ်သွာတ်အမှု။
Judgement,ကောပ်,"1 (n) judgement, decision, arbitration, resolution. [id] ကောပ်တဲ(ယ်)။"
Judgement,ကောပ်တဲ,"(n) judgement, rule."
Judgement,လိက်ထောံရာန်,"(n) {obs} judgement, decree, document of divorce, divorce paper."
Judgement,အကောပ်,"အကောပ်အဝဲ (n) condemnation {ဒဒှ်မဟီုဖျေံကဝု (n) speak ill of other}, judgement, command and control {as in army}."
Judgement,အစဳအရေၚ်,"(n) orders, arrangements, instructions, judgement, plan, preparation."
Judgement,အရေၚ်,"(n) see အစဳအရေၚ် (n) orders, arrangements, instructions, judgement, plan, preparation."
Judgement or decision ,ဝိနိစ္ဆယ,(n) [P.] judgement or decision {in religious matters}.
Judgement-seat,ပၞၚ်ဓဝ်,"(n) pulpit in form of raised seat with tiered canopy and steps giving access, judgement-seat, preaching throne. [id] ခုၚ်ဇမၞော်ဂဗုတ်။"
Judgment,ပတုဲ,"2 (n) decision, judgment, arbitration, resolution. [id] ပ္တုဲ(ယ်)။"
Judgment,ပတုယ်,"2 (n) decision, judgment, arbitration, resolution. [id] ပ္တုဲ(ယ်)။"
Judgment,ပြဒ္ညာ,"(n) [Skt. Prajan] judgment, intelligence, understanding, wisdom, knowledge."
Judicial penalty,ရာဇာဒန်,(n) [LF] judicial penalty.
Judicial penalty.  criminal,ရာဇာဝတ်,"(n) [P. raja vatta] duty of king, the duties of the ruler, kingly duties and morals, law of state, royal edict, judicial penalty. (ajd) criminal."
Judo,ဂျူဒဝ်,(n) [Eng.] judo.
Juggler,ညးမဒလုမတ်,"(n) juggler, conjuror, magician."
Juggler,လၟေံ,"လၟေမ် (n) dicer, gambler, juggler."
Juggler,လၟေမ်,"(n) dicer, gambler, juggler."
Juggler,လၟေံ,3 လၟေအ် (n) {obs} juggler.
Juggler,လၟေအ်,3 (n) {obs} juggler.
Juggler,အ္စာဒမၠုမတ်,"(n) conjurer, juggler."
Juggler.  အ္စာဒမၠုမတ်၊ အ္စစာဗ္ဂေတ်မတ်၊ လၟေံပါသ်၊ လၟေဟ်။,အ္စာလှန်မတ်,"(n) conjuror, conjurer, magician, juggler. [id.] အ္စာဒမၠုမတ်၊ အ္စစာဗ္ဂေတ်မတ်၊ လၟေံပါသ်၊ လၟေဟ်။"
Juice of the nipa or dwarf palm tree,ဍာ်ကၞိ,"(n) toddy made from sap of Nipa fruticans palm, juice of the nipa or dwarf palm tree."
Juicy,မနွံကဵုဍာ်,"(adj) succulent, juicy."
Juicy.  မပေၚ်ထာတ်ဒၟံၚ်ကဵုဍာ်။,မနွံကဵုဍာ်ဂၠိုၚ်ဂၠိုၚ်,(adj) juicy. [id] မပေၚ်ထာတ်ဒၟံၚ်ကဵုဍာ်။
Jujube fruit,သတ်ဗဒဝ်,(n) jujube fruit.
Jujube plum,ဗဒဝ်,"1 (n) {Skt/P. Badara} a kind of plum, plum, jujube plum, Zezyphus jujube Lamarck. [id] ဗ္ဒဝ်။    ဗ္ဒဝ်ကြုက် (n) litchi, peach, apricot, round juicy fruit with downy yellowish red skin and a rough stone seed.    ဗ္ဒဝ်ဇာတ် (n) variety of jujube.    ဗ္ဒဝ်လမ္စံက်ကြုက် (n) damson.    မြၚ် (n) variety of plum."
July.  rougly corresponding to ဂိတုဒ္ဂိုန်။,ဂိတုဂျူလာၚ်,(n) [Eng.] July. [Mon] rougly corresponding to ဂိတုဒ္ဂိုန်။
Jumna river,ယမုနာ,(n) Jumna river.
Jump,ဆၚ်စှ်ေ,"(v) to get, jump, down {into}."
Jump,ထလာ်,"(v) skip, to leap, jump."
Jump,သၠာ်,"1 (v) to leap, jump, skip.    ဍေံသၠာ်စှ်ေနူတၞံဆု (v) he jumped down out of the tree.    ဗ္ၜေံသၠာ်(က်) (v) the goat skipped. [Cf.] ကထေံ(အ်)၊ ကၟာပ်၊ စၠာ်(က်)၊ ထၠာ် (v) ဒံၚ်၊ မာပ်၊ ယူ။"
Jump,သၠာက်,"1 (v) to leap, jump, skip.    ဍေံသၠာ်စှ်ေနူတၞံဆု (v) he jumped down out of the tree.    ဗ္ၜေံသၠာ်(က်) (v) the goat skipped. [Cf.] ကထေံ(အ်)၊ ကၟာပ်၊ စၠာ်(က်)၊ ထၠာ် (v) ဒံၚ်၊ မာပ်၊ ယူ။"
Jumped in the water,ဆၚ်စှ်ေဍာ်,(v) jumped in the water.
Jumper,သွိတ်တာ,"(v) [Eng.] sweater, jumper, pull-over, cardigan."
Junction,ဂၠံၚ်တတ်,"(n) junction, intersection, crossroads."
Junction,ထာၚ်,"(n) junction, fork, division of stem. [Cf.] ဂါပ်၊ စိၚ်၊ တၚ်၊ ပ္ၚပ်၊ သွာၚ်၊ ဝှာၚ်။"
Junction,ဒစပ်,"(n) junction, agreement."
Junction,ယောဂ,"(n) [P.] junction, attachment."
Junction of nerves or arteries,ထာၚ်ကတေၚ်,(n) junction of nerves or arteries.
June.  roughly corresponding to ဂိတုဇှ်ေ။,ဂိတုဂျုန်,(n) [Eng.] June. [Mon] roughly corresponding to ဂိတုဇှ်ေ(ဟ်)။
Jungle,ဂသဵု,"ကသဵုဂြိုပ် (n) bush, jungle."
