English,Mon,Original_Definition
Obscenity,အရေဝ်ပပ်ပပ်ပဳပဳ,(n) obscenity.
Obscurity.  ဒဒှ်မဒှ်ကဆံၚ်မၞိဟ်ဟွံတီ။,ဒဒှ်မနွံကဆံၚ်ဟွံကၠး,(n) obscurity. [id] ဒဒှ်မဒှ်ကဆံၚ်မၞိဟ်ဟွံတီ။
Obsequies accorded a departed monk,ဇွသၚ်,"(n) ceremonial cremation of monk’s relics, obsequies accorded a departed monk."
Observable,မမၚ်ရံၚ်လ္ၚတ်မာန်,(adj) observable.
Observance,စာရိတ်,"(n) [P.] practice, observance."
Observance,ဝတ်,"2 (n) [P. vato, vatan] observance, duty, practice. [P. vatthu] object, thing, story, history offering."
Observance.  စာရိတ်၊ ဒဒှ်မဒ္ဂေတ်၊ ဝတ်။,ဒဒှ်မမၚ်မွဲဒ္ဂေတ်ဗက်,(n) observance. [id] စာရိတ်၊ ဒဒှ်မဒ္ဂေတ်၊ ဝတ်။
Observant,မနွံကဵုဒဒှ်မသ္ပကေၚ်ကာ,(adj) observant.
Observation.  ဒဒှ်မဖျေံသ္ဂုတ်သွာတ်။,ဒဒှ်မမၚ်ရံၚ်,(n) observation. [id] ဒဒှ်မဖျေံသ္ဂုတ်သွာတ်။
Observatory.  ဟဝ်သွက်ဂွံရံၚ်လ္ၚတ်နက်သတ်။,ဟဝ်နက်ကျတ်,(n) observatory. [id.] ဟဝ်သွက်ဂွံရံၚ်လ္ၚတ်နက်သတ်။
Observe,ခါတ်,"3 (v) observe, size up.    မတ်ကစိန်ဏံမွဲစိတန်ရော ခါတ်ရံၚ်အကာဲစမ် (v) how much would you say the stone in this ring is worth?    ယဝ်ရပံၚ်ကဵုမၞိဟ် ခါတ်ရံၚ်အကာဲမၞိဟ်ကဵုလေပ်မံၚ် (v) if you are going to mix with a lot of people, get into the habit of sizing them up. [Cf.] ခယျ၊ ဆ၊ ထေၚ်ရံၚ်။"
Observe,ဓဂိုန်,"2 (v) to preserve, observe, keep, undertake."
Observe,ဖျေံတၚ်သမ္တီ,"(v) observe, remark."
Observe,ဗက်လ္ၚတ်,"(v) study, observe."
Observe the five of dhutanga,ဒ္ဂိုန်ဓုတၚ်မသုန်,(v) observe the five of dhutanga.
Observe traditional rites,ဗက်အခိုက်ကၞာ,(v) observe traditional rites.
Observed or practised by tradition.  be hereditary,ဗက်မဇ,"(v) something that is accepted, observed or practised by tradition. (v) be hereditary, inherit family characteristics."
Observer,မၞိဟ်ဗက်လ္ၚတ်,(n) observer.
Observer.  မၞိဟ်လ္ၚတ်။,မၞိဟ်ရံၚ်လ္ၚတ်,(n) observer. [id.] မၞိဟ်လ္ၚတ်။
Obsession.  ဒဒှ်မဒှ်တဴဂဝိၚ်။,ဒဒှ်မဒှ်တဴသောက,(n) obsession. [id] ဒဒှ်မဒှ်တဴဂဝိၚ်။
Obsolescent.  မဟၟဲတဴကဵုခေတ်။,မစိုပ်အာကဆံၚ်အိုတ်အာခေတ်,(adj) obsolescent. [id] မဟၟဲတဴကဵုခေတ်။
Obstacles.  အရာမတာဒၞာပ္ဍဲပရေၚ်ဘာသာ။,နိဝဵု,နိဝိုဝ် (n) [P. nivaranam] obstacles. [id] အရာမတာဒၞာပ္ဍဲပရေၚ်ဘာသာ။
Obstacles.  အရာမတာဒၞာပ္ဍဲပရေၚ်ဘာသာ။,နိဝိုဝ်,(n) [P. nivaranam] obstacles. [id] အရာမတာဒၞာပ္ဍဲပရေၚ်ဘာသာ။
Obstinacy,ကြံၚ်,"သြောံဣကြေၚ်စကြံၚ် (v) Ikarin rice has strong taste. Second sense, ဍုဟ်၊ ပု၊ ယောပ်၊ ၜတ်၊ ၜိုတ်။ [Der.] ကရံၚ် (n) obstinacy, ripeness."
Obstinacy,စရံၚ်,"(n) obstinacy, ripeness, stubbornness. [id] စြံၚ်။ ကြံၚ် (v) to be firm."
Obstinacy,တရံၚ်,"1 (n) obstinacy, ripeness. [id] တြံၚ်။    တြံၚ်က္ဍုဟ် (n) ripeness, result. [Cf.] second sense, ပရံၚ်။    [Der.] ကြံၚ် (v) to be firm."
Obstinate or self-willed person,အစး,"(n) contrary fellow, obstinate or self-willed person."
Obstinate person,အဖျုန်ရေဲ,"(n) obstinate person, a person who is like the dried flesh {refuse to do things because others would not.}."
Obstinately.  နဒဒှ်မနွံကဵုကဆံၚ်ဟီုဂးစဝါတ်။,နဒဒှ်မနွံကဵုက္ဍိုပ်မကြံၚ်မ္ၚိုဟ်,(adv) obstinately. [id] နဒဒှ်မနွံကဵုကဆံၚ်ဟီုဂးစဝါတ်။
Obstruct,ကြတ်ဒၞာ,"(v) to hinder, obstruct, intercept."
Obstruct,ဒနာ,"(v) to hinder, obstruct, prevent the passage of. [id] ဒၞာ။"
Obstruct,ဒၞာ,"1 (v) to hinder, obstruct, prevent the passage of.    အဲလုပ်ကၠုၚ်ဖျာဍေံဒၞာကြတ်အဲမိက်ဂွံဂၠာဲဂလာန်သွက်ဂွံစသေက် (v) as I went into the bazaar, he stood in my way, trying to start a quarrel.    ကြတ်ဒၞာ (v) to hinder.    တာဒၞာ (v) to (signal to) stop.    ဗၠာဲသၟိၚ်ဂမၠိုၚ် ဒၞာကြာပ်ကေတ်ဒမၠတံ(အ်) (v) the police parties got the dacoits between them.    သွက်ဒၞာပိုဲဍေံအသံဟွံမွဲ(ယ်) (v) he has no authority to keep us out. [Cf.] ကြတ်၊ ဆဵု(ဝ်)၊ ဆေဝ်။"
Obstruct,ဓနာ,"(n) to hinder, obstruct, prevent the passage of. [id] ဓၞာ၊ ဒၞာ။"
Obstruct,ဓၞာ,"(v) block {opening}, obstruct, bar {passage}, hide, shield, screen, hold, cover, hinder, prevent the passage of. [id] ဒၞာ။"
Obstruction,လဟာ်,"(adv) gapingly, without hindrance, obstruction, etc. (adj) gaping, yawning, bare."
Obstruction.  to open.  လဟာ်။,ဂဟာ်,"(adv) gapingly, without hindrance, obstruction. (v) to open. [id] လဟာ်(က်)။"
Obstruction.  အဆဵုအဒဝ်။,အရာမပလာပ်ပထုဲ,(n) obstruction. [id] အဆဵုအဒဝ်။
Obstructive.  မသ္ကဵုဒှ်အာဆဵုအဒဝ်ပလာပ်ပထုဲ၊ မသ္ကဵုဒှ်အာအဆဵုအဒဝ်မာန်။,မသ္ကဵုစိုပ်အာကဆံၚ်ဂၠိန်ၜေါတ်,(adj) obstructive. [id] မသ္ကဵုဒှ်အာဆဵုအဒဝ်ပလာပ်ပထုဲ၊ မသ္ကဵုဒှ်အာအဆဵုအဒဝ်မာန်။
Obtain,ကေတ်,"(v) to take, fetch, obtain, to wish, to have want."
Obtain a living,ဂယိုၚ်လမျီု,"(n) living, livelihood. (v) to maintain life, obtain a living."
Obtain consent,ဒုၚ်ဝေါန်,"(v) ask permission, obtain consent, admit, confess, promise. [id] ဒုၚ်လဝ်ဝေါန်။"
Obtainable.  မကလိဂွံမာန်။,မဂွံမာန်,(adj) obtainable. [id] မကလိဂွံမာန်။
Obtrusive.  မကဵုဒုၚ်တဲအတေၚ်။,မသ္ကဵုဒုၚ်တဲနကဵုအသံ,(adj) obtrusive. [id] မကဵုဒုၚ်တဲအတေၚ်။
Obtuse angle,ဒကဴ,ဒ္ကဴသၠဲ (n) obtuse angle.
Obvious,တီကၠးကၠး,"(v) be evident, obvious, stand out. [id] မံက်မံၚ်ကၠးကၠး။"
Obviously,နဒဒှ်မဆဵုညာတ်ဒၟံၚ်ကၠးလောန်အာ,(adv) obviously.
Occasion,လှ်ေ,"1 (n) time, occasion, turn.    ဂၠိုၚ်လှ်ေ(ဟ်) (n) many times.    ထောံပ္ဍဲဍာ်ပိလှ်ေ(ဟ်) (n) throw it in the water three times.    မွဲလှ်ေအဲဟွံကေၚ်ဍိုက် (n) I have never travelled in one.    မွဲလှ်ေပၠန်နာဲဍောတ်တိုန်အာလ္ဂုၚ်ကဵုဂၠုၚ် (n) one another occasion Nai Dtoot was going up to Rangoon by boat. [Cf.] အခိၚ်၊ အလန်၊ လတုန်၊ လန်၊ ဝါ။"
Occasion,လေဟ်,"1 (n) time, occasion, turn.    ဂၠိုၚ်လှ်ေ(ဟ်) (n) many times.    ထောံပ္ဍဲဍာ်ပိလှ်ေ(ဟ်) (n) throw it in the water three times.    မွဲလှ်ေအဲဟွံကေၚ်ဍိုက် (n) I have never travelled in one.    မွဲလှ်ေပၠန်နာဲဍောတ်တိုန်အာလ္ဂုၚ်ကဵုဂၠုၚ် (n) one another occasion Nai Dtoot was going up to Rangoon by boat. [Cf.] အခိၚ်၊ အလန်၊ လတုန်၊ လန်၊ ဝါ။"
Occasion,အခိၚ်,"(n) time, time of day, precise time, {infrequent} occasion, movement."
Occasion ally,ဆောဝ်လ,"(adv) sometimes, one in a while, occasion ally, now and then, from time to time."
Occasion for laughter,ဂရိုၚ်,"(n) occasion for laughter, that which is ludicrous. [id] ဂြိုၚ် (v) to laugh."
Occasional,မဒှ်စှ်လှေ်မွဲလှေ်,(adj) occasional.
Occasionally,နဒဒှ်မဒှ်စှ်လှ်ေမွဲလှ်ေ,(adv) occasionally.
Occasionally as n. phr. head.  ၝုဲ။,ၝ,"2 (pers. Pron) masc. You. Used in familiar address to inferiors, term of address and reference, usually peremptory or offensive, occasionally as n. phr. Head. [Cf.] ၝုဲ(ယ်)။"
